ALG	Fn	DES	C	Mu
Spectral_12	GO.0000165	MAPK_cascade	15	5
Spectral_12	GO.0002218	activation_of_innate_immune_response	15	5
Spectral_12	GO.0002757	immune_response-activating_signal_transd...	15	5
Spectral_12	GO.0002758	innate_immune_response-activating_signal...	15	5
Spectral_12	GO.0050852	T_cell_receptor_signaling_pathway	15	5
Spectral_12	GO.0007268	chemical_synaptic_transmission	16	5
Spectral_12	GO.0007269	neurotransmitter_secretion	16	5
Spectral_12	GO.0016079	synaptic_vesicle_exocytosis	16	5
Spectral_12	GO.0016082	synaptic_vesicle_priming	16	3
Spectral_12	GO.0031629	synaptic_vesicle_fusion_to_presynaptic_a...	16	3
Spectral_12	GO.0048791	calcium_ion-regulated_exocytosis_of_neur...	16	1
Spectral_12	GO.0050804	modulation_of_chemical_synaptic_transmis...	16	3
Spectral_12	GO.0060078	regulation_of_postsynaptic_membrane_pote...	16	2
Spectral_12	GO.0098693	regulation_of_synaptic_vesicle_cycle	16	2
Spectral_12	GO.0099003	vesicle-mediated_transport_in_synapse	16	5
Spectral_12	GO.0099504	synaptic_vesicle_cycle	16	5
Spectral_12	GO.0099531	presynaptic_process_involved_in_chemical...	16	5
Spectral_12	GO.0099536	synaptic_signaling	16	5
Spectral_12	GO.0099537	trans-synaptic_signaling	16	5
Spectral_12	GO.0099565	chemical_synaptic_transmission,_postsyna...	16	2
Spectral_12	GO.0099643	signal_release_from_synapse	16	5
Spectral_12	GO.2000300	regulation_of_synaptic_vesicle_exocytosi...	16	2
Spectral_12	GO.0009755	hormone-mediated_signaling_pathway	17	2
Spectral_12	GO.0048488	synaptic_vesicle_endocytosis	18	2
Spectral_12	GO.0016079	synaptic_vesicle_exocytosis	20	2
Spectral_12	GO.0099504	synaptic_vesicle_cycle	20	3
Spectral_12	GO.0099054	presynapse_assembly	21	1
Spectral_12	GO.0048488	synaptic_vesicle_endocytosis	24	2
Spectral_12	GO.0007411	axon_guidance	26	4
Spectral_12	GO.0008088	axo-dendritic_transport	29	3
Spectral_12	GO.0008089	anterograde_axonal_transport	29	3
Spectral_12	GO.0098930	axonal_transport	29	3
Spectral_12	GO.0009755	hormone-mediated_signaling_pathway	32	2
Spectral_12	GO.0010737	protein_kinase_A_signaling	36	3
Spectral_12	GO.0042552	myelination	36	3
Spectral_12	GO.0070528	protein_kinase_C_signaling	36	2
Spectral_12	GO.0007268	chemical_synaptic_transmission	37	8
Spectral_12	GO.0050804	modulation_of_chemical_synaptic_transmis...	37	7
Spectral_12	GO.0099536	synaptic_signaling	37	8
Spectral_12	GO.0099537	trans-synaptic_signaling	37	8
Spectral_12	GO.0043491	protein_kinase_B_signaling	38	3
Spectral_12	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	39	3
Spectral_12	GO.0019933	cAMP-mediated_signaling	39	2
Spectral_12	GO.0051591	response_to_cAMP	39	2
Spectral_12	GO.0007268	chemical_synaptic_transmission	40	5
Spectral_12	GO.0007416	synapse_assembly	40	2
Spectral_12	GO.0050807	regulation_of_synapse_organization	40	2
Spectral_12	GO.0051963	regulation_of_synapse_assembly	40	2
Spectral_12	GO.0099536	synaptic_signaling	40	5
Spectral_12	GO.0099537	trans-synaptic_signaling	40	5
Spectral_12	GO.0046058	cAMP_metabolic_process	41	2
Spectral_12	GO.0055074	calcium_ion_homeostasis	41	5
Spectral_12	GO.0000165	MAPK_cascade	43	8
Spectral_12	GO.0007411	axon_guidance	43	3
Spectral_12	GO.0051403	stress-activated_MAPK_cascade	43	4
Spectral_12	GO.0055074	calcium_ion_homeostasis	43	3
Spectral_12	GO.0007269	neurotransmitter_secretion	44	3
Spectral_12	GO.0009755	hormone-mediated_signaling_pathway	44	2
Spectral_12	GO.0016079	synaptic_vesicle_exocytosis	44	3
Spectral_12	GO.0048488	synaptic_vesicle_endocytosis	44	2
Spectral_12	GO.0098693	regulation_of_synaptic_vesicle_cycle	44	2
Spectral_12	GO.0099003	vesicle-mediated_transport_in_synapse	44	4
Spectral_12	GO.0099504	synaptic_vesicle_cycle	44	3
Spectral_12	GO.0099531	presynaptic_process_involved_in_chemical...	44	3
Spectral_12	GO.0099643	signal_release_from_synapse	44	3
Spectral_12	GO.2000300	regulation_of_synaptic_vesicle_exocytosi...	44	2
Spectral_12	GO.0002218	activation_of_innate_immune_response	45	5
Spectral_12	GO.0002757	immune_response-activating_signal_transd...	45	6
Spectral_12	GO.0002758	innate_immune_response-activating_signal...	45	5
Spectral_12	GO.0050852	T_cell_receptor_signaling_pathway	45	5
Spectral_12	GO.0002218	activation_of_innate_immune_response	47	4
Spectral_12	GO.0002757	immune_response-activating_signal_transd...	47	4
Spectral_12	GO.0002758	innate_immune_response-activating_signal...	47	4
Spectral_12	GO.0050852	T_cell_receptor_signaling_pathway	47	4
Spectral_12	GO.0000165	MAPK_cascade	48	12
Spectral_12	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	48	4
Spectral_12	GO.0051403	stress-activated_MAPK_cascade	48	7
Spectral_12	GO.0007212	dopamine_receptor_signaling_pathway	49	6
Spectral_12	GO.0007223	Wnt_signaling_pathway,_calcium_modulatin...	49	2
Spectral_12	GO.0007268	chemical_synaptic_transmission	49	8
Spectral_12	GO.0010611	regulation_of_cardiac_muscle_hypertrophy	49	4
Spectral_12	GO.0019722	calcium-mediated_signaling	49	3
Spectral_12	GO.0019933	cAMP-mediated_signaling	49	3
Spectral_12	GO.0031929	TOR_signaling	49	3
Spectral_12	GO.0046058	cAMP_metabolic_process	49	4
Spectral_12	GO.0050804	modulation_of_chemical_synaptic_transmis...	49	6
Spectral_12	GO.0055074	calcium_ion_homeostasis	49	6
Spectral_12	GO.0086065	cell_communication_involved_in_cardiac_c...	49	2
Spectral_12	GO.0099536	synaptic_signaling	49	8
Spectral_12	GO.0099537	trans-synaptic_signaling	49	8
Spectral_12	GO.0099565	chemical_synaptic_transmission,_postsyna...	49	3
Spectral_12	GO.0000165	MAPK_cascade	50	9
Spectral_12	GO.0007268	chemical_synaptic_transmission	50	6
Spectral_12	GO.0019722	calcium-mediated_signaling	50	4
Spectral_12	GO.0035235	ionotropic_glutamate_receptor_signaling_...	50	2
Spectral_12	GO.0050804	modulation_of_chemical_synaptic_transmis...	50	5
Spectral_12	GO.0050807	regulation_of_synapse_organization	50	2
Spectral_12	GO.0086065	cell_communication_involved_in_cardiac_c...	50	2
Spectral_12	GO.0099536	synaptic_signaling	50	6
Spectral_12	GO.0099537	trans-synaptic_signaling	50	6
Spectral_3	GO.0007269	neurotransmitter_secretion	4	2
Spectral_3	GO.0099531	presynaptic_process_involved_in_chemical...	4	2
Spectral_3	GO.0099643	signal_release_from_synapse	4	2
Spectral_3	GO.0007212	dopamine_receptor_signaling_pathway	6	2
Spectral_3	GO.0050808	synapse_organization	6	5
Spectral_3	GO.0060074	synapse_maturation	6	2
Spectral_3	GO.0099601	regulation_of_neurotransmitter_receptor_...	6	2
Spectral_3	GO.0000165	MAPK_cascade	7	4
Spectral_3	GO.0007268	chemical_synaptic_transmission	7	7
Spectral_3	GO.0007411	axon_guidance	7	2
Spectral_3	GO.0019722	calcium-mediated_signaling	7	2
Spectral_3	GO.0060078	regulation_of_postsynaptic_membrane_pote...	7	2
Spectral_3	GO.0099536	synaptic_signaling	7	7
Spectral_3	GO.0099537	trans-synaptic_signaling	7	7
Spectral_3	GO.0099565	chemical_synaptic_transmission,_postsyna...	7	2
Spectral_3	GO.0035235	ionotropic_glutamate_receptor_signaling_...	8	1
Spectral_3	GO.0042417	dopamine_metabolic_process	8	1
Spectral_3	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	9	7
Spectral_3	GO.0002757	immune_response-activating_signal_transd...	9	8
Spectral_3	GO.0032288	myelin_assembly	9	3
Spectral_3	GO.0060078	regulation_of_postsynaptic_membrane_pote...	9	3
Spectral_3	GO.0002224	toll-like_receptor_signaling_pathway	10	1
Spectral_3	GO.0070528	protein_kinase_C_signaling	10	1
Spectral_3	GO.0002224	toll-like_receptor_signaling_pathway	11	1
Spectral_3	GO.0031929	TOR_signaling	11	1
Spectral_3	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	12	2
Spectral_3	GO.0048791	calcium_ion-regulated_exocytosis_of_neur...	12	1
Spectral_3	GO.0099054	presynapse_assembly	13	1
Spectral_3	GO.0099003	vesicle-mediated_transport_in_synapse	16	2
Spectral_3	GO.0099504	synaptic_vesicle_cycle	16	2
Spectral_3	GO.0000165	MAPK_cascade	20	5
Spectral_3	GO.0007411	axon_guidance	20	5
Spectral_3	GO.0007212	dopamine_receptor_signaling_pathway	22	1
Spectral_3	GO.0019933	cAMP-mediated_signaling	22	1
Spectral_3	GO.0046058	cAMP_metabolic_process	22	1
Spectral_3	GO.0007223	Wnt_signaling_pathway,_calcium_modulatin...	23	1
Spectral_3	GO.0042417	dopamine_metabolic_process	25	1
Spectral_3	GO.0086065	cell_communication_involved_in_cardiac_c...	32	1
Spectral_3	GO.0007411	axon_guidance	34	6
Spectral_3	GO.0001504	neurotransmitter_uptake	35	1
Spectral_3	GO.0002218	activation_of_innate_immune_response	36	5
Spectral_3	GO.0002758	innate_immune_response-activating_signal...	36	4
Spectral_3	GO.0050852	T_cell_receptor_signaling_pathway	36	4
Spectral_3	GO.0007268	chemical_synaptic_transmission	39	8
Spectral_3	GO.0007269	neurotransmitter_secretion	39	7
Spectral_3	GO.0016079	synaptic_vesicle_exocytosis	39	7
Spectral_3	GO.0016082	synaptic_vesicle_priming	39	4
Spectral_3	GO.0031629	synaptic_vesicle_fusion_to_presynaptic_a...	39	4
Spectral_3	GO.0098877	neurotransmitter_receptor_transport_to_p...	39	2
Spectral_3	GO.0099003	vesicle-mediated_transport_in_synapse	39	7
Spectral_3	GO.0099072	regulation_of_postsynaptic_membrane_neur...	39	2
Spectral_3	GO.0099504	synaptic_vesicle_cycle	39	7
Spectral_3	GO.0099531	presynaptic_process_involved_in_chemical...	39	7
Spectral_3	GO.0099536	synaptic_signaling	39	8
Spectral_3	GO.0099537	trans-synaptic_signaling	39	8
Spectral_3	GO.0099637	neurotransmitter_receptor_transport	39	2
Spectral_3	GO.0099643	signal_release_from_synapse	39	7
Spectral_3	GO.2000300	regulation_of_synaptic_vesicle_exocytosi...	39	2
Spectral_3	GO.0099504	synaptic_vesicle_cycle	42	4
Spectral_3	GO.0016082	synaptic_vesicle_priming	43	1
Spectral_3	GO.0031929	TOR_signaling	48	1
Spectral_3	GO.0000165	MAPK_cascade	50	6
Spectral_3	GO.0002218	activation_of_innate_immune_response	50	6
Spectral_3	GO.0002757	immune_response-activating_signal_transd...	50	6
Spectral_3	GO.0002758	innate_immune_response-activating_signal...	50	6
Spectral_3	GO.0050852	T_cell_receptor_signaling_pathway	50	6
Spectral_3	GO.0010611	regulation_of_cardiac_muscle_hypertrophy	51	1
Spectral_3	GO.0019933	cAMP-mediated_signaling	52	1
Spectral_3	GO.0008088	axo-dendritic_transport	57	3
Spectral_3	GO.0008089	anterograde_axonal_transport	57	3
Spectral_3	GO.0098930	axonal_transport	57	3
Spectral_3	GO.0010737	protein_kinase_A_signaling	61	1
Spectral_3	GO.0009755	hormone-mediated_signaling_pathway	63	2
Spectral_3	GO.0010737	protein_kinase_A_signaling	74	3
Spectral_3	GO.0042552	myelination	74	3
Spectral_3	GO.0070528	protein_kinase_C_signaling	74	2
Spectral_3	GO.0007268	chemical_synaptic_transmission	75	8
Spectral_3	GO.0007269	neurotransmitter_secretion	75	3
Spectral_3	GO.0050804	modulation_of_chemical_synaptic_transmis...	75	7
Spectral_3	GO.0098693	regulation_of_synaptic_vesicle_cycle	75	2
Spectral_3	GO.0099531	presynaptic_process_involved_in_chemical...	75	3
Spectral_3	GO.0099536	synaptic_signaling	75	8
Spectral_3	GO.0099537	trans-synaptic_signaling	75	8
Spectral_3	GO.0099643	signal_release_from_synapse	75	3
Spectral_3	GO.0043491	protein_kinase_B_signaling	79	3
Spectral_3	GO.0007268	chemical_synaptic_transmission	81	6
Spectral_3	GO.0019933	cAMP-mediated_signaling	81	2
Spectral_3	GO.0051591	response_to_cAMP	81	2
Spectral_3	GO.0099536	synaptic_signaling	81	6
Spectral_3	GO.0099537	trans-synaptic_signaling	81	6
Spectral_3	GO.0007223	Wnt_signaling_pathway,_calcium_modulatin...	82	1
Spectral_3	GO.0000165	MAPK_cascade	83	7
Spectral_3	GO.0007411	axon_guidance	83	3
Spectral_3	GO.0051403	stress-activated_MAPK_cascade	83	4
Spectral_3	GO.0000165	MAPK_cascade	84	11
Spectral_3	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	84	3
Spectral_3	GO.0007268	chemical_synaptic_transmission	84	11
Spectral_3	GO.0007269	neurotransmitter_secretion	84	6
Spectral_3	GO.0010611	regulation_of_cardiac_muscle_hypertrophy	84	2
Spectral_3	GO.0016079	synaptic_vesicle_exocytosis	84	5
Spectral_3	GO.0048488	synaptic_vesicle_endocytosis	84	3
Spectral_3	GO.0050804	modulation_of_chemical_synaptic_transmis...	84	8
Spectral_3	GO.0051403	stress-activated_MAPK_cascade	84	6
Spectral_3	GO.0060078	regulation_of_postsynaptic_membrane_pote...	84	3
Spectral_3	GO.0098693	regulation_of_synaptic_vesicle_cycle	84	4
Spectral_3	GO.0099003	vesicle-mediated_transport_in_synapse	84	5
Spectral_3	GO.0099504	synaptic_vesicle_cycle	84	5
Spectral_3	GO.0099531	presynaptic_process_involved_in_chemical...	84	6
Spectral_3	GO.0099536	synaptic_signaling	84	11
Spectral_3	GO.0099537	trans-synaptic_signaling	84	11
Spectral_3	GO.0099565	chemical_synaptic_transmission,_postsyna...	84	3
Spectral_3	GO.0099643	signal_release_from_synapse	84	6
Spectral_3	GO.2000300	regulation_of_synaptic_vesicle_exocytosi...	84	3
Spectral_3	GO.0007212	dopamine_receptor_signaling_pathway	90	4
Spectral_3	GO.0007223	Wnt_signaling_pathway,_calcium_modulatin...	90	2
Spectral_3	GO.0019933	cAMP-mediated_signaling	90	3
Spectral_3	GO.0046058	cAMP_metabolic_process	90	2
Spectral_3	GO.0007212	dopamine_receptor_signaling_pathway	91	2
Spectral_3	GO.0031929	TOR_signaling	91	2
Spectral_3	GO.0042552	myelination	91	3
Spectral_3	GO.0000165	MAPK_cascade	92	8
Spectral_3	GO.0002218	activation_of_innate_immune_response	92	9
Spectral_3	GO.0002757	immune_response-activating_signal_transd...	92	11
Spectral_3	GO.0002758	innate_immune_response-activating_signal...	92	9
Spectral_3	GO.0050852	T_cell_receptor_signaling_pathway	92	8
Spectral_3	GO.0050853	B_cell_receptor_signaling_pathway	93	1
Spectral_3	GO.0000165	MAPK_cascade	94	3
Spectral_3	GO.0002218	activation_of_innate_immune_response	94	2
Spectral_3	GO.0002758	innate_immune_response-activating_signal...	94	2
Spectral_3	GO.0055074	calcium_ion_homeostasis	94	2
Spectral_3	GO.0010611	regulation_of_cardiac_muscle_hypertrophy	95	1
Spectral_3	GO.0010737	protein_kinase_A_signaling	95	1
Spectral_3	GO.0031929	TOR_signaling	95	1
Spectral_3	GO.0010611	regulation_of_cardiac_muscle_hypertrophy	96	1
Spectral_3	GO.0019722	calcium-mediated_signaling	96	2
Spectral_3	GO.0035235	ionotropic_glutamate_receptor_signaling_...	96	1
Spectral_3	GO.0055074	calcium_ion_homeostasis	96	2
Spectral_3	GO.0086065	cell_communication_involved_in_cardiac_c...	96	1
Spectral_3	GO.0099601	regulation_of_neurotransmitter_receptor_...	96	1
Spectral_3	GO.0000165	MAPK_cascade	97	2
Spectral_3	GO.0031929	TOR_signaling	97	1
Spectral_3	GO.0000165	MAPK_cascade	99	4
Spectral_3	GO.0007223	Wnt_signaling_pathway,_calcium_modulatin...	99	1
Spectral_3	GO.0060074	synapse_maturation	99	1
Spectral_3	GO.0002224	toll-like_receptor_signaling_pathway	101	1
Spectral_3	GO.0001504	neurotransmitter_uptake	102	1
Spectral_3	GO.0016082	synaptic_vesicle_priming	102	1
Spectral_3	GO.0031629	synaptic_vesicle_fusion_to_presynaptic_a...	102	1
Spectral_3	GO.0098877	neurotransmitter_receptor_transport_to_p...	102	1
Spectral_3	GO.0099072	regulation_of_postsynaptic_membrane_neur...	102	1
Spectral_3	GO.0099637	neurotransmitter_receptor_transport	102	1
Spectral_3	GO.0000165	MAPK_cascade	104	2
Spectral_3	GO.0008088	axo-dendritic_transport	104	1
Spectral_3	GO.0098930	axonal_transport	104	1
Spectral_3	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	105	2
Spectral_3	GO.0046058	cAMP_metabolic_process	105	2
Spectral_3	GO.0050807	regulation_of_synapse_organization	105	2
Spectral_3	GO.0050808	synapse_organization	105	3
Spectral_3	GO.0031929	TOR_signaling	106	1
Spectral_3	GO.0050853	B_cell_receptor_signaling_pathway	108	1
sgG1	GO.0000165	MAPK_cascade	4	11
sgG1	GO.0007269	neurotransmitter_secretion	4	4
sgG1	GO.0016079	synaptic_vesicle_exocytosis	4	4
sgG1	GO.0051403	stress-activated_MAPK_cascade	4	6
sgG1	GO.0055074	calcium_ion_homeostasis	4	5
sgG1	GO.0086065	cell_communication_involved_in_cardiac_c...	4	3
sgG1	GO.0098693	regulation_of_synaptic_vesicle_cycle	4	3
sgG1	GO.0099643	signal_release_from_synapse	4	4
sgG1	GO.2000300	regulation_of_synaptic_vesicle_exocytosi...	4	3
sgG1	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	6	11
sgG1	GO.0002757	immune_response-activating_signal_transd...	6	13
sgG1	GO.0007268	chemical_synaptic_transmission	6	22
sgG1	GO.0050804	modulation_of_chemical_synaptic_transmis...	6	12
sgG1	GO.0099536	synaptic_signaling	6	22
sgG1	GO.0099537	trans-synaptic_signaling	6	22
sgG1	GO.0009755	hormone-mediated_signaling_pathway	7	2
sgG1	GO.0002218	activation_of_innate_immune_response	14	8
sgG1	GO.0002757	immune_response-activating_signal_transd...	14	8
sgG1	GO.0002758	innate_immune_response-activating_signal...	14	8
sgG1	GO.0050852	T_cell_receptor_signaling_pathway	14	8
sgG1	GO.0002218	activation_of_innate_immune_response	15	7
sgG1	GO.0002758	innate_immune_response-activating_signal...	15	7
sgG1	GO.0001504	neurotransmitter_uptake	16	3
sgG1	GO.0007268	chemical_synaptic_transmission	16	16
sgG1	GO.0007269	neurotransmitter_secretion	16	10
sgG1	GO.0016079	synaptic_vesicle_exocytosis	16	10
sgG1	GO.0016082	synaptic_vesicle_priming	16	6
sgG1	GO.0031629	synaptic_vesicle_fusion_to_presynaptic_a...	16	5
sgG1	GO.0050804	modulation_of_chemical_synaptic_transmis...	16	9
sgG1	GO.0098877	neurotransmitter_receptor_transport_to_p...	16	3
sgG1	GO.0099003	vesicle-mediated_transport_in_synapse	16	10
sgG1	GO.0099072	regulation_of_postsynaptic_membrane_neur...	16	3
sgG1	GO.0099504	synaptic_vesicle_cycle	16	10
sgG1	GO.0099531	presynaptic_process_involved_in_chemical...	16	10
sgG1	GO.0099536	synaptic_signaling	16	16
sgG1	GO.0099537	trans-synaptic_signaling	16	16
sgG1	GO.0099637	neurotransmitter_receptor_transport	16	3
sgG1	GO.0099643	signal_release_from_synapse	16	10
sgG1	GO.0009755	hormone-mediated_signaling_pathway	17	2
sgG1	GO.0019933	cAMP-mediated_signaling	17	2
sgG1	GO.0051591	response_to_cAMP	17	2
sgG1	GO.0048488	synaptic_vesicle_endocytosis	19	5
sgG1	GO.0099003	vesicle-mediated_transport_in_synapse	19	6
sgG1	GO.0099504	synaptic_vesicle_cycle	19	5
sgG1	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	21	2
sgG1	GO.0002757	immune_response-activating_signal_transd...	21	2
sgG1	GO.0000165	MAPK_cascade	22	29
sgG1	GO.0002757	immune_response-activating_signal_transd...	22	19
sgG1	GO.0007268	chemical_synaptic_transmission	22	22
sgG1	GO.0099536	synaptic_signaling	22	22
sgG1	GO.0099537	trans-synaptic_signaling	22	22
sgG1	GO.0042552	myelination	25	4
sgG1	GO.0046058	cAMP_metabolic_process	27	2
sgG1	GO.0010611	regulation_of_cardiac_muscle_hypertrophy	28	1
sgG1	GO.0010737	protein_kinase_A_signaling	29	2
sgG1	GO.0060563	neuroepithelial_cell_differentiation	29	1
sgG1	GO.0050808	synapse_organization	30	2
sgG1	GO.0007411	axon_guidance	31	7
sgG1	GO.0031929	TOR_signaling	32	2
fc_2	GO.0050808	synapse_organization	1	7
fc_2	GO.0050804	modulation_of_chemical_synaptic_transmis...	2	10
fc_2	GO.0099003	vesicle-mediated_transport_in_synapse	2	7
fc_2	GO.0099504	synaptic_vesicle_cycle	2	7
fc_2	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	3	4
fc_2	GO.0007268	chemical_synaptic_transmission	5	15
fc_2	GO.0007269	neurotransmitter_secretion	5	10
fc_2	GO.0016079	synaptic_vesicle_exocytosis	5	10
fc_2	GO.0016082	synaptic_vesicle_priming	5	6
fc_2	GO.0031629	synaptic_vesicle_fusion_to_presynaptic_a...	5	5
fc_2	GO.0050804	modulation_of_chemical_synaptic_transmis...	5	9
fc_2	GO.0099003	vesicle-mediated_transport_in_synapse	5	10
fc_2	GO.0099504	synaptic_vesicle_cycle	5	10
fc_2	GO.0099531	presynaptic_process_involved_in_chemical...	5	10
fc_2	GO.0099536	synaptic_signaling	5	15
fc_2	GO.0099537	trans-synaptic_signaling	5	15
fc_2	GO.0099643	signal_release_from_synapse	5	10
fc_2	GO.0009755	hormone-mediated_signaling_pathway	10	2
fc_2	GO.0010737	protein_kinase_A_signaling	11	1
fc_2	GO.0070528	protein_kinase_C_signaling	11	1
fc_2	GO.0031929	TOR_signaling	13	2
fc_2	GO.0050804	modulation_of_chemical_synaptic_transmis...	13	6
fc_2	GO.0007268	chemical_synaptic_transmission	14	4
fc_2	GO.0007269	neurotransmitter_secretion	14	4
fc_2	GO.0016079	synaptic_vesicle_exocytosis	14	3
fc_2	GO.0048488	synaptic_vesicle_endocytosis	14	2
fc_2	GO.0048791	calcium_ion-regulated_exocytosis_of_neur...	14	1
fc_2	GO.0050804	modulation_of_chemical_synaptic_transmis...	14	3
fc_2	GO.0060563	neuroepithelial_cell_differentiation	14	1
