IDS	rat.gene.name	rat.entrez.ID	rat.uniprot	mouse.gene.name	mouse.entrez.ID	mouse.uniprot	human.gene.name	human.entez.ID	human.uniprot	% Cov	Peptide (95%)
Q93050	Atp6v0a1	29757	P25286	Atp6v0a1	11975	Q9Z1G4	ATP6V0A1	535	Q93050	21.3	19
O75955	Flot1	64665	Q9Z1E1	Flot1	14251	O08917	FLOT1	10211	O75955	53.4	19
Q08209	Ppp3ca	24674	P63329	Ppp3ca	19055	P63328	PPP3CA	5530	Q08209	NA	NA
Q8TDJ6	Dmxl2	315676	F1M3W5	Dmxl2	235380	B0V2P5	DMXL2	23312	Q8TDJ6	15.9	20
P63104	Ywhaz	25578	P63102	Ywhaz	22631	P63101	YWHAZ	7534	P63104	60.8	25
P08237	Pfkm	65152	P47858	Pfkm	18642	P47857	PFKM	5213	P08237	36.8	19
P62937	Ppia	25518	P10111	Ppia	268373	P17742	PPIA	5478	P62937	81.8	33
Q6VY07	Pacs1	171444	O88588	Pacs1	107975	Q8K212	PACS1	55690	Q6VY07	31.1	17
P05141	Slc25a5	25176	Q09073	Slc25a5	11740	P51881	SLC25A5	292	P05141	50.3	23
P00505	Got2	25721	P00507	Got2	14719	P05202	GOT2	2806	P00505	51.2	25
P10809	Hspd1	63868	P63039	Hspd1	15510	P63038	HSPD1	3329	P10809	38.6	17
O15075	Dclk1	83825	O08875	Dclk1	13175	Q9JLM8	DCLK1	9201	O15075	40.7	17
P29401	Tkt	64524	P50137	Tkt	21881	P40142	TKT	7086	P29401	40.5	17
P21796	Vdac1	83529	Q9Z2L0	Vdac1	22333	Q60932	VDAC1	7416	P21796	53.7	26
O14994	Syn3	29130	O70441	Syn3	27204	Q8JZP2	SYN3	8224	O14994	48.5	21
P78371	Cct2	299809	Q5XIM9	Cct2	12461	P80314	CCT2	10576	P78371	44.7	18
P24752	Acat1	25014	P17764	Acat1	110446	Q8QZT1	ACAT1	38	P24752	49	18
8WUM4	NA	NA	NA	NA	NA	NA	NA	NA	8WUM4	26.2	16
P55786	Npepps	50558	Q8VID2	Npepps	19155	Q11011	NPEPPS	9520	P55786	31.8	16
P13591	Ncam1	24586	P13596	Ncam1	17967	P13595	NCAM1	4684	P13591	26.1	18
Q15019	Sept2	117515	Q91Y81	Sept2	18000	P42208	SEPT2	4735	Q15019	62.3	17
P05023	Atp1a1	24211	P06685	Atp1a1	11928	Q8VDN2	ATP1A1	476	P05023	41	43
P05091	Aldh2	29539	P11884	Aldh2	11669	P47738	ALDH2	217	P05091	39.9	15
P78356	Pip4k2b	89812	O88377	Pip4k2b	108083	Q80XI4	PIP4K2B	8396	P78356	48.8	17
O14531	Dpysl4	25417	Q62951	Dpysl4	26757	Q3TMU8	DPYSL4	10570	O14531	45.1	20
Q969P0	Igsf8	304979	NA	Igsf8	140559	Q8R366	IGSF8	93185	Q969P0	34.8	18
P06396	Gsn	296654	Q68FP1	Gsn	227753	P13020	GSN	2934	P06396	36.2	20
Q02252	Aldh6a1	81708	Q02253	Aldh6a1	104776	Q9EQ20	ALDH6A1	4329	Q02252	48.4	16
P07237	P4hb	25506	P04785	P4hb	18453	P09103	P4HB	5034	P07237	48.4	15
P30041	Prdx6	94167	O35244	Prdx6	11758	O08709	PRDX6	9588	P30041	78.1	16
P30153	Ppp2r1a	117281	Q5XI34	Ppp2r1a	51792	Q76MZ3	PPP2R1A	5518	P30153	32.3	16
Q9BPU6	LOC100910964	100910964	NA	Dpysl5	65254	Q9EQF6	DPYSL5	56896	Q9BPU6	43.1	17
O43175	Phgdh	58835	O08651	Phgdh	236539	Q61753	PHGDH	26227	O43175	34.9	16
O95197	Rtn3	140945	Q6RJR6	Rtn3	20168	Q9ES97	RTN3	10313	O95197	21.6	14
Q15555	Mapre2	679221	Q3B8Q0	Mapre2	212307	Q8R001	MAPRE2	10982	Q15555	65.1	16
P32004	L1cam	50687	Q05695	L1cam	16728	A2AFG7	L1CAM	3897	P32004	20.1	16
P49368	Cct3	295230	Q6P502	Cct3	12462	P80318	CCT3	7203	P49368	38.2	15
O60641	Snap91	65178	Q05140	Snap91	20616	Q61548	SNAP91	9892	O60641	22.1	19
P40123	Cap2	116653	P52481	Cap2	67252	Q9CYT6	CAP2	10486	P40123	46.3	16
Q9UDT6	Clip2	29264	G3V949	Clip2	269713	Q9Z0H8	CLIP2	7461	Q9UDT6	25	14
P13639	Eef2	29565	P05197	Eef2	13629	P58252	EEF2	1938	P13639	30	14
P27338	Maob	25750	P19643	Maob	109731	Q8BW75	MAOB	4129	P27338	33.7	16
O75083	Wdr1	360950	Q5RKI0	Wdr1	22388	O88342	WDR1	9948	O75083	38.3	16
Q16795	Ndufa9	362440	Q5BK63	Ndufa9	66108	Q9DC69	NDUFA9	4704	Q16795	48	15
P35579	LOC100911597	100911597	NA	Myh9	17886	Q8VDD5	MYH9	4627	P35579	20.6	17
P29966	Marcks	25603	F1LMW7	Marcks	17118	P26645	MARCKS	4082	P29966	48.8	18
P31930	Uqcrc1	301011	Q68FY0	Uqcrc1	22273	Q9CZ13	UQCRC1	7384	P31930	40.2	18
Q86VP6	Cand1	117152	P97536	Cand1	71902	Q6ZQ38	CAND1	55832	Q86VP6	21.7	14
P00338	Ldha	24533	P04642	Ldha	16828	P06151	LDHA	3939	P00338	46.4	21
P36871	Pgm1	24645	Q499Q4	Pgm2	72157	Q9D0F9	PGM1	5236	P36871	35.2	14
Q99747	Napg	307382	A0A0G2K350	Napg	108123	Q9CWZ7	NAPG	8774	Q99747	47.4	14
P31323	Prkar2b	24679	P12369	Prkar2b	19088	P31324	PRKAR2B	5577	P31323	41.2	15
P26038	Msn	81521	O35763	Msn	17698	P26041	MSN	4478	P26038	32.8	14
P31948	Stip1	192277	O35814	Stip1	20867	Q60864	STIP1	10963	P31948	38.9	14
P30086	Pebp1	29542	P31044	Pebp1	23980	P70296	PEBP1	5037	P30086	86.1	19
P62258	Ywhae	29753	P62260	Ywhae	22627	P62259	YWHAE	7531	P62258	58	19
Q9UQB8	Baiap2	117542	Q6GMN2	Baiap2	108100	Q8BKX1	BAIAP2	10458	Q9UQB8	40.6	14
O75390	Cs	170587	Q8VHF5	Cs	12974	Q9CZU6	CS	1431	O75390	30.5	15
Q92823	Nrcam	497815	Q6PW34	Nrcam	319504	Q810U4	NRCAM	4897	Q92823	26.2	15
P08559	Pdha1	29554	Q4FZZ4	Pdha1	18597	P35486	PDHA1	5160	P08559	42.1	17
Q9Y617	Psat1	293820	Q68FU2	Psat1	107272	Q99K85	PSAT1	29968	Q9Y617	36.8	14
P34932	Hspa4	266759	O88600	Hspa4	15525	Q3U2G2	HSPA4	3308	P34932	31.3	17
Q99962	Sh3gl2	116743	O35179	Sh3gl2	20404	Q62420	SH3GL2	6456	Q99962	42.1	15
P54652	Hspa2	60460	P14659	Hspa2	15512	P17156	HSPA2	3306	P54652	54.2	37
Q99623	Phb2	114766	Q5XIH7	Phb2	12034	O35129	PHB2	11331	Q99623	59.5	16
Q7L099	Rufy3	360921	Q5FVJ0	Rufy3	52822	Q9D394	RUFY3	22902	Q7L099	41.4	14
Q13367	Ap3b2	308777	D4AE00	Ap3b2	11775	Q9JME5	AP3B2	8120	Q13367	17.8	15
Q9UHC6	Cntnap2	500105	NA	Cntnap2	66797	Q9CPW0	CNTNAP2	26047	Q9UHC6	21.2	14
P05026	Atp1b1	25650	P07340	Atp1b1	11931	P14094	ATP1B1	481	P05026	39.6	21
P10909	Clu	24854	P05371	Clu	12759	Q06890	CLU	1191	P10909	38.8	17
Q8N1G4	Lrrc47	362672	F1LT49	Lrrc47	72946	Q505F5	LRRC47	57470	Q8N1G4	36.5	13
Q08495	Dmtn	361069	D4A559	Dmtn	13829	Q9WV69	DMTN	2039	Q08495	51.1	15
P41250	Gars	297113	G3V7G8	Gars	353172	Q9CZD3	GARS	2617	P41250	28.6	13
P09104	Eno2	24334	P07323	Eno2	13807	P17183	ENO2	2026	P09104	54.6	29
P28482	Mapk1	116590	P63086	Mapk1	26413	P63085	MAPK1	5594	P28482	39.4	13
P22695	Uqcrc2	293448	P32551	Uqcrc2	67003	Q9DB77	UQCRC2	7385	P22695	34.4	25
P62873	Gnb1	24400	P54311	Gnb1	14688	P62874	GNB1	2782	P62873	30	18
P09622	Dld	298942	Q6P6R2	Dld	13382	O08749	DLD	1738	P09622	30.8	15
P52306	Rap1gds1	310909	F1M7Y3	Rap1gds1	229877	E9Q6Q4	RAP1GDS1	5910	P52306	26.5	13
O94760	Ddah1	64157	O08557	Ddah1	69219	Q9CWS0	DDAH1	23576	O94760	55.1	18
O94811	Tppp	361466	D3ZQL7	Tppp	72948	Q7TQD2	TPPP	11076	O94811	74.4	19
P49419	Aldh7a1	291450	Q64057	Aldh7a1	110695	Q9DBF1	ALDH7A1	501	P49419	35.3	15
O95757	Hspa4l	294993	B4F772	Hspa4l	18415	P48722	HSPA4L	22824	O95757	33.4	17
Q92777	Syn2	29179	Q63537	Syn2	20965	Q64332	SYN2	6854	Q92777	45.9	35
O00154	Acot7	26759	Q64559	Acot7	70025	Q91V12	ACOT7	11332	O00154	40.5	14
O60313	Opa1	171116	Q2TA68	Opa1	74143	P58281	OPA1	4976	O60313	22	13
P78324	Sirpa	25528	P97710	Sirpa	19261	P97797	SIRPA	140885	P78324	40.5	20
O43237	Dync1li2	81655	Q62698	Dync1li2	234663	Q6PDL0	DYNC1LI2	1783	O43237	38.8	14
O43707	Actn4	63836	Q9QXQ0	Actn4	60595	P57780	ACTN4	81	O43707	31.5	13
Q9UKU0	Acsl6	117243	P33124	Acsl6	216739	Q91WC3	ACSL6	23305	Q9UKU0	28.1	13
Q9UPY8	Mapre3	298848	Q5XIT1	Mapre3	100732	Q6PER3	MAPRE3	22924	Q9UPY8	60.1	15
Q92900	Upf1	684558	F1LY19	Upf1	19704	Q9EPU0	UPF1	5976	Q92900	20.1	13
Q13509	Tubb3	246118	Q4QRB4	Tubb3	22152	Q9ERD7	TUBB3	10381	Q13509	68.7	118
P61981	Ywhag	56010	P61983	Ywhag	22628	P61982	YWHAG	7532	P61981	58.7	23
P32119	Prdx2	29338	P35704	Prdx2	21672	Q61171	PRDX2	7001	P32119	38.9	19
Q2M2I8	Aak1	500244	F1LRI7	Aak1	269774	Q3UHJ0	AAK1	22848	Q2M2I8	21.9	12
P09417	Qdpr	64192	P11348	Qdpr	110391	Q8BVI4	QDPR	5860	P09417	56.2	19
P15104	Glul	24957	P09606	Glul	14645	P15105	GLUL	2752	P15104	31.9	17
O75306	Ndufs2	289218	Q641Y2	Ndufs2	226646	Q91WD5	NDUFS2	4720	O75306	38.4	12
P30038	Aldh4a1	641316	NA	Aldh4a1	212647	Q8CHT0	ALDH4A1	8659	P30038	33.2	13
P09471	Gnao1	50664	P59215	Gnao1	14681	P18872	GNAO1	2775	P09471	52.3	17
Q7Z4S6	Kif21a	300158	NA	Kif21a	16564	Q9QXL2	KIF21A	55605	Q7Z4S6	13.7	12
Q02978	Slc25a11	64201	P97700	Slc25a11	67863	Q9CR62	SLC25A11	8402	Q02978	51.3	14
O94973	Ap2a2	81637	Q66HM2	Ap2a2	11772	P17427	AP2A2	161	O94973	30	20
Q92599	Sept8	303135	G3V9Z6	Sept8	20362	Q8CHH9	SEPT8	23176	Q92599	40.2	22
P02768	Alb	24186	P02770	Alb	11657	P07724	ALB	213	P02768	27.4	22
P49821	Ndufv1	293655	Q5XIH3	Ndufv1	17995	Q91YT0	NDUFV1	4723	P49821	41.6	14
Q9BQI5	Sgip1	313413	NA	Sgip1	73094	Q8VD37	SGIP1	84251	Q9BQI5	25.7	12
Q9P2R7	Sucla2	361071	F1LM47	Sucla2	20916	Q9Z2I9	SUCLA2	8803	Q9P2R7	34.8	13
P07954	Fh	24368	Q5M964	Fh1	14194	P97807	FH	2271	P07954	34.1	12
O14639	Ablim1	307989	NA	Ablim1	226251	Q8K4G5	ABLIM1	3983	O14639	32.3	14
Q16799	Rtn1	116644	Q64548	Rtn1	104001	Q8K0T0	RTN1	6252	Q16799	22.7	13
O75891	Aldh1l1	64392	P28037	Aldh1l1	107747	Q8R0Y6	ALDH1L1	10840	O75891	28.8	14
Q9H9B4	Sfxn1	364678	Q6AYS2	Sfxn1	14057	Q99JR1	SFXN1	94081	Q9H9B4	48.5	12
P68871	LOC100134871	100134871	NA	NA	NA	NA	HBB	3043	P68871	78.9	15
Q9Y4L1	Hyou1	192235	Q63617	Hyou1	12282	Q9JKR6	HYOU1	10525	Q9Y4L1	22.3	13
Q4V328	Gripap1	116493	Q9JHZ4	Gripap1	54645	Q8VD04	GRIPAP1	56850	Q4V328	27.5	11
P40925	Mdh1	24551	O88989	Mdh1	17449	P14152	MDH1	4190	P40925	47.9	18
P27816	Map4	367171	Q5M7W5	Map4	17758	P27546	MAP4	4134	P27816	27.2	13
