C	Cn	Differentiallly expressed proteins	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Differentially expressed proteins in 2	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Differentially expressed proteins in 3	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
25	14		4	2.48914	1.86544	[0.58,6.00]	0.205013	1	0.1		0.85081	1			2	0.427997	5.52315	[1.19,25.59]	0.0581196	1	0.1		0.992393	1			0	0.0450523	0	[0.00,0.00]	1	1	0.1		1	1		
26	8		3	1.42237	2.79908	[0.66,11.80]	0.118162	1	0.1		0.962376	1			0	0.24457	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0257442	0	[0.00,0.00]	1	1	0.1		1	1		
27	4		1	0.711183	1.54394	[0.16,14.91]	0.396043	1	0.1		0.852569	1			0	0.122285	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1		
28	10		1	1.77796	0.511616	[0.06,4.06]	0.445686	1	0.1		0.305606	1			1	0.305712	3.59159	[0.44,29.09]	0.232655	1	0.1		0.964908	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1		
29	5		0	0.888978	0	[0.00,0.00]	1	1	0.1		1	1			0	0.152856	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0160901	0	[0.00,0.00]	1	1	0.1		1	1		
30	8		5	1.42237	7.86265	[1.86,33.15]	0.00538857	1	0.1		0.999394	1			0	0.24457	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0257442	0	[0.00,0.00]	1	1	0.1		1	1		
31	11		1	1.95575	0.46	[0.06,3.61]	0.391158	1	0.1		0.276185	1			0	0.336283	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1		
32	18		2	3.20032	0.574201	[0.13,2.52]	0.353526	1	0.1		0.211201	1			0	0.550282	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0579244	0	[0.00,0.00]	1	1	0.1		1	1		
33	22		4	3.9115	1.02816	[0.34,3.07]	0.649052	1	0.1		0.217505	1			1	0.672566	1.52381	[0.20,11.63]	0.354511	1	0.1		0.856593	1			0	0.0707965	0	[0.00,0.00]	1	1	0.1		1	1		
34	27		2	4.80048	0.364201	[0.09,1.55]	0.115055	1	0.1		0.0817856	1			0	0.825422	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0868866	0	[0.00,0.00]	1	1	0.1		1	1		
35	14		3	2.48914	1.2648	[0.35,4.57]	0.497105	1	0.1		0.514577	1			0	0.427997	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0450523	0	[0.00,0.00]	1	1	0.1		1	1		
36	25		4	4.44489	0.878648	[0.30,2.59]	0.533865	1	0.1		0.209011	1			0	0.76428	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0804505	0	[0.00,0.00]	1	1	0.1		1	1		
37	33		5	5.86726	0.821759	[0.31,2.15]	0.451491	1	0.1		0.17727	1			0	1.00885	0	[0.00,0.00]	1	1	0.1		1	1			0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1		
38	7		0	1.24457	0	[0.00,0.00]	1	1	0.1		1	1			0	0.213998	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0225261	0	[0.00,0.00]	1	1	0.1		1	1		
39	8		0	1.42237	0	[0.00,0.00]	1	1	0.1		1	1			0	0.24457	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0257442	0	[0.00,0.00]	1	1	0.1		1	1		
40	17		2	3.02253	0.61309	[0.14,2.70]	0.394354	1	0.1		0.228563	1			0	0.51971	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0547064	0	[0.00,0.00]	1	1	0.1		1	1		
41	4		2	0.711183	4.65753	[0.65,33.25]	0.128132	1	0.1		0.9807	1			0	0.122285	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1		
42	24		4	4.2671	0.923502	[0.31,2.73]	0.571888	1	0.1		0.213591	1			1	0.733709	1.38895	[0.18,10.56]	0.363646	1	0.1		0.83495	1			0	0.0772325	0	[0.00,0.00]	1	1	0.1		1	1		
43	9		1	1.60016	0.576136	[0.07,4.63]	0.505361	1	0.1		0.334719	1			1	0.275141	4.04392	[0.49,33.17]	0.215862	1	0.1		0.97138	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1		
44	36		11	6.40064	2.08895	[1.01,4.31]	0.0313801	1	0.1		0.976182	1			4	1.10056	4.3125	[1.44,12.88]	0.0178252	1	0.1		0.996155	1			1	0.115849	11.4667	[1.16,113.01]	0.106321	1	0.1		0.99528	1		
45	3		0	0.533387	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0917136	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1		
46	3		0	0.533387	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0917136	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1		
47	18		3	3.20032	0.923853	[0.27,3.22]	0.598494	1	0.1		0.244968	1			0	0.550282	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0579244	0	[0.00,0.00]	1	1	0.1		1	1		
48	4		0	0.711183	0	[0.00,0.00]	1	1	0.1		1	1			0	0.122285	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1		
49	9		1	1.60016	0.576136	[0.07,4.63]	0.505361	1	0.1		0.334719	1			0	0.275141	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1		
50	10		1	1.77796	0.511616	[0.06,4.06]	0.445686	1	0.1		0.305606	1			0	0.305712	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1		
51	11		3	1.95575	1.74427	[0.46,6.63]	0.30929	1	0.1		0.770407	1			1	0.336283	3.22973	[0.40,25.89]	0.248241	1	0.1		0.957926	1			0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1		
52	14		2	2.48914	0.768645	[0.17,3.46]	0.533919	1	0.1		0.275695	1			0	0.427997	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0450523	0	[0.00,0.00]	1	1	0.1		1	1		
53	15		4	2.66693	1.69418	[0.53,5.37]	0.210981	1	0.1		0.837243	1			2	0.458568	5.09402	[1.11,23.41]	0.0650967	1	0.1		0.99069	1			0	0.0482703	0	[0.00,0.00]	1	1	0.1		1	1		
54	28		1	4.97828	0.167508	[0.02,1.24]	0.0281113	1	0.1		0.0242173	1			1	0.855994	1.17918	[0.16,8.91]	0.374985	1	0.1		0.790147	1			0	0.0901046	0	[0.00,0.00]	1	1	0.1		1	1		
55	15		1	2.66693	0.327273	[0.04,2.50]	0.223367	1	0.1		0.171284	1			0	0.458568	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0482703	0	[0.00,0.00]	1	1	0.1		1	1		
56	21		3	3.73371	0.767584	[0.22,2.63]	0.471094	1	0.1		0.221677	1			0	0.641995	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0675784	0	[0.00,0.00]	1	1	0.1		1	1		
57	8		0	1.42237	0	[0.00,0.00]	1	1	0.1		1	1			0	0.24457	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0257442	0	[0.00,0.00]	1	1	0.1		1	1		
58	11		0	1.95575	0	[0.00,0.00]	1	1	0.1		1	1			0	0.336283	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1		
59	11		1	1.95575	0.46	[0.06,3.61]	0.391158	1	0.1		0.276185	1			0	0.336283	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1		
60	24		3	4.2671	0.655963	[0.19,2.22]	0.358296	1	0.1		0.186997	1			0	0.733709	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0772325	0	[0.00,0.00]	1	1	0.1		1	1		
61	11		3	1.95575	1.74427	[0.46,6.63]	0.30929	1	0.1		0.770407	1			0	0.336283	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1		
62	14		3	2.48914	1.2648	[0.35,4.57]	0.497105	1	0.1		0.514577	1			1	0.427997	2.47817	[0.32,19.45]	0.288302	1	0.1		0.934273	1			0	0.0450523	0	[0.00,0.00]	1	1	0.1		1	1		
63	13		4	2.31134	2.07476	[0.63,6.80]	0.200143	1	0.1		0.858554	1			2	0.397426	6.0303	[1.29,28.21]	0.0513188	1	0.1		0.993895	1			1	0.0418343	34.0833	[3.30,351.55]	0.0406324	1	0.1		0.999401	1		
64	10		2	1.77796	1.15753	[0.24,5.49]	0.438453	1	0.1		0.603978	1			1	0.305712	3.59159	[0.44,29.09]	0.232655	1	0.1		0.964908	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1		
65	12		2	2.13355	0.924201	[0.20,4.25]	0.637752	1	0.1		0.295913	1			0	0.366854	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0386163	0	[0.00,0.00]	1	1	0.1		1	1		
66	10		4	1.77796	3.12135	[0.87,11.16]	0.0644624	1	0.1		0.980195	1			1	0.305712	3.59159	[0.44,29.09]	0.232655	1	0.1		0.964908	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1		
67	13		1	2.31134	0.382576	[0.05,2.96]	0.297609	1	0.1		0.220198	1			0	0.397426	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0418343	0	[0.00,0.00]	1	1	0.1		1	1		
68	27		5	4.80048	1.05219	[0.39,2.81]	0.460078	1	0.1		0.391282	1			0	0.825422	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0868866	0	[0.00,0.00]	1	1	0.1		1	1		
69	18		2	3.20032	0.574201	[0.13,2.52]	0.353526	1	0.1		0.211201	1			0	0.550282	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0579244	0	[0.00,0.00]	1	1	0.1		1	1		
70	23		4	4.0893	0.973078	[0.33,2.89]	0.610396	1	0.1		0.216502	1			1	0.703138	1.45332	[0.19,11.07]	0.359394	1	0.1		0.84585	1			0	0.0740145	0	[0.00,0.00]	1	1	0.1		1	1		
71	11		3	1.95575	1.74427	[0.46,6.63]	0.30929	1	0.1		0.770407	1			0	0.336283	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1		
72	6		0	1.06677	0	[0.00,0.00]	1	1	0.1		1	1			0	0.183427	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1		
73	7		4	1.24457	6.26114	[1.39,28.18]	0.0191828	1	0.1		0.997374	1			1	0.213998	5.4009	[0.63,46.00]	0.178419	1	0.1		0.982647	1			0	0.0225261	0	[0.00,0.00]	1	1	0.1		1	1		
74	22		5	3.9115	1.36846	[0.50,3.75]	0.389728	1	0.1		0.597463	1			1	0.672566	1.52381	[0.20,11.63]	0.354511	1	0.1		0.856593	1			0	0.0707965	0	[0.00,0.00]	1	1	0.1		1	1		
75	17		3	3.02253	0.990826	[0.28,3.48]	0.642644	1	0.1		0.24829	1			0	0.51971	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0547064	0	[0.00,0.00]	1	1	0.1		1	1		
76	12		3	2.13355	1.54893	[0.42,5.77]	0.307593	1	0.1		0.756647	1			0	0.366854	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0386163	0	[0.00,0.00]	1	1	0.1		1	1		
77	3		0	0.533387	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0917136	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1		
78	18		6	3.20032	2.34884	[0.87,6.33]	0.0841404	1	0.1		0.943534	1			0	0.550282	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0579244	0	[0.00,0.00]	1	1	0.1		1	1		
79	15		3	2.66693	1.15826	[0.32,4.14]	0.469003	1	0.1		0.507061	1			1	0.458568	2.29923	[0.29,17.95]	0.299596	1	0.1		0.925593	1			0	0.0482703	0	[0.00,0.00]	1	1	0.1		1	1		
80	14		1	2.48914	0.352797	[0.05,2.71]	0.258224	1	0.1		0.194722	1			0	0.427997	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0450523	0	[0.00,0.00]	1	1	0.1		1	1		
81	12		3	2.13355	1.54893	[0.42,5.77]	0.307593	1	0.1		0.756647	1			0	0.366854	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0386163	0	[0.00,0.00]	1	1	0.1		1	1		
82	11		3	1.95575	1.74427	[0.46,6.63]	0.30929	1	0.1		0.770407	1			0	0.336283	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1		
83	22		5	3.9115	1.36846	[0.50,3.75]	0.389728	1	0.1		0.597463	1			0	0.672566	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0707965	0	[0.00,0.00]	1	1	0.1		1	1		
84	18		2	3.20032	0.574201	[0.13,2.52]	0.353526	1	0.1		0.211201	1			0	0.550282	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0579244	0	[0.00,0.00]	1	1	0.1		1	1		
85	10		3	1.77796	1.99541	[0.51,7.78]	0.311755	1	0.1		0.775652	1			0	0.305712	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1		
86	10		1	1.77796	0.511616	[0.06,4.06]	0.445686	1	0.1		0.305606	1			1	0.305712	3.59159	[0.44,29.09]	0.232655	1	0.1		0.964908	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1		
87	17		2	3.02253	0.61309	[0.14,2.70]	0.394354	1	0.1		0.228563	1			1	0.51971	2.00845	[0.26,15.55]	0.319381	1	0.1		0.90722	1			0	0.0547064	0	[0.00,0.00]	1	1	0.1		1	1		
88	10		2	1.77796	1.15753	[0.24,5.49]	0.438453	1	0.1		0.603978	1			1	0.305712	3.59159	[0.44,29.09]	0.232655	1	0.1		0.964908	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1		
89	8		2	1.42237	1.54642	[0.31,7.71]	0.482196	1	0.1		0.636381	1			1	0.24457	4.62548	[0.55,38.56]	0.197804	1	0.1		0.977306	1			0	0.0257442	0	[0.00,0.00]	1	1	0.1		1	1		
90	10		1	1.77796	0.511616	[0.06,4.06]	0.445686	1	0.1		0.305606	1			0	0.305712	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1		
91	8		2	1.42237	1.54642	[0.31,7.71]	0.482196	1	0.1		0.636381	1			1	0.24457	4.62548	[0.55,38.56]	0.197804	1	0.1		0.977306	1			0	0.0257442	0	[0.00,0.00]	1	1	0.1		1	1		
