ALG	Fn	DES	C	Mu
lec	GO.0099003	vesicle-mediated_transport_in_synapse	22	3
lec	GO.0099504	synaptic_vesicle_cycle	22	3
lec	GO.0099531	presynaptic_process_involved_in_chemical...	22	3
lec	GO.0099536	synaptic_signaling	22	5
lec	GO.0099537	trans-synaptic_signaling	22	5
lec	GO.0099643	signal_release_from_synapse	22	3
lec	GO.0000165	MAPK_cascade	25	11
lec	GO.0043491	protein_kinase_B_signaling	25	4
infomap	GO.0000165	MAPK_cascade	1	11
infomap	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	1	6
infomap	GO.0002757	immune_response-activating_signal_transd...	1	7
infomap	GO.0007268	chemical_synaptic_transmission	1	15
infomap	GO.0007411	axon_guidance	1	6
infomap	GO.0007416	synapse_assembly	1	4
infomap	GO.0019722	calcium-mediated_signaling	1	4
infomap	GO.0032288	myelin_assembly	1	2
infomap	GO.0035235	ionotropic_glutamate_receptor_signaling_...	1	3
infomap	GO.0042417	dopamine_metabolic_process	1	2
infomap	GO.0050804	modulation_of_chemical_synaptic_transmis...	1	9
infomap	GO.0050807	regulation_of_synapse_organization	1	3
infomap	GO.0050808	synapse_organization	1	6
infomap	GO.0051963	regulation_of_synapse_assembly	1	2
infomap	GO.0055074	calcium_ion_homeostasis	1	5
infomap	GO.0060078	regulation_of_postsynaptic_membrane_pote...	1	7
infomap	GO.0099536	synaptic_signaling	1	15
infomap	GO.0099537	trans-synaptic_signaling	1	15
infomap	GO.0099565	chemical_synaptic_transmission,_postsyna...	1	7
infomap	GO.0099601	regulation_of_neurotransmitter_receptor_...	1	3
infomap	GO.0002218	activation_of_innate_immune_response	2	5
infomap	GO.0002757	immune_response-activating_signal_transd...	2	6
infomap	GO.0002758	innate_immune_response-activating_signal...	2	5
infomap	GO.0007212	dopamine_receptor_signaling_pathway	2	4
infomap	GO.0007223	Wnt_signaling_pathway,_calcium_modulatin...	2	2
infomap	GO.0019933	cAMP-mediated_signaling	2	3
infomap	GO.0050852	T_cell_receptor_signaling_pathway	2	5
infomap	GO.0007212	dopamine_receptor_signaling_pathway	4	2
infomap	GO.0007268	chemical_synaptic_transmission	4	8
infomap	GO.0010611	regulation_of_cardiac_muscle_hypertrophy	4	3
infomap	GO.0019722	calcium-mediated_signaling	4	3
infomap	GO.0031929	TOR_signaling	4	3
infomap	GO.0046058	cAMP_metabolic_process	4	2
infomap	GO.0050808	synapse_organization	4	3
infomap	GO.0055074	calcium_ion_homeostasis	4	4
infomap	GO.0099536	synaptic_signaling	4	8
infomap	GO.0099537	trans-synaptic_signaling	4	8
infomap	GO.0099565	chemical_synaptic_transmission,_postsyna...	4	3
infomap	GO.0000165	MAPK_cascade	5	5
infomap	GO.0050807	regulation_of_synapse_organization	5	2
infomap	GO.0048488	synaptic_vesicle_endocytosis	6	6
infomap	GO.0098693	regulation_of_synaptic_vesicle_cycle	6	2
infomap	GO.0099003	vesicle-mediated_transport_in_synapse	6	7
infomap	GO.0099504	synaptic_vesicle_cycle	6	6
infomap	GO.0043491	protein_kinase_B_signaling	8	3
infomap	GO.0099054	presynapse_assembly	11	1
infomap	GO.0002218	activation_of_innate_immune_response	12	4
infomap	GO.0002224	toll-like_receptor_signaling_pathway	12	2
infomap	GO.0002757	immune_response-activating_signal_transd...	12	4
infomap	GO.0002758	innate_immune_response-activating_signal...	12	4
infomap	GO.0050852	T_cell_receptor_signaling_pathway	12	3
infomap	GO.0051403	stress-activated_MAPK_cascade	12	3
infomap	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	14	2
infomap	GO.0042552	myelination	15	2
infomap	GO.0000165	MAPK_cascade	18	8
infomap	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	18	2
infomap	GO.0002757	immune_response-activating_signal_transd...	18	3
infomap	GO.0050853	B_cell_receptor_signaling_pathway	18	1
infomap	GO.0051403	stress-activated_MAPK_cascade	18	5
infomap	GO.0007411	axon_guidance	19	3
infomap	GO.0000165	MAPK_cascade	22	8
infomap	GO.0002218	activation_of_innate_immune_response	22	8
infomap	GO.0002757	immune_response-activating_signal_transd...	22	8
infomap	GO.0002758	innate_immune_response-activating_signal...	22	8
infomap	GO.0050852	T_cell_receptor_signaling_pathway	22	8
infomap	GO.0060074	synapse_maturation	22	1
infomap	GO.0050804	modulation_of_chemical_synaptic_transmis...	23	4
infomap	GO.0051591	response_to_cAMP	23	2
infomap	GO.0099054	presynapse_assembly	24	1
infomap	GO.0042552	myelination	25	2
infomap	GO.0070528	protein_kinase_C_signaling	25	1
infomap	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	26	2
infomap	GO.0046058	cAMP_metabolic_process	26	2
infomap	GO.0000165	MAPK_cascade	27	6
infomap	GO.0001504	neurotransmitter_uptake	28	2
infomap	GO.0007268	chemical_synaptic_transmission	28	8
infomap	GO.0007269	neurotransmitter_secretion	28	7
infomap	GO.0016079	synaptic_vesicle_exocytosis	28	7
infomap	GO.0016082	synaptic_vesicle_priming	28	5
infomap	GO.0031629	synaptic_vesicle_fusion_to_presynaptic_a...	28	5
infomap	GO.0048791	calcium_ion-regulated_exocytosis_of_neur...	28	1
infomap	GO.0050804	modulation_of_chemical_synaptic_transmis...	28	6
infomap	GO.0060078	regulation_of_postsynaptic_membrane_pote...	28	2
infomap	GO.0098693	regulation_of_synaptic_vesicle_cycle	28	2
infomap	GO.0098877	neurotransmitter_receptor_transport_to_p...	28	3
infomap	GO.0099003	vesicle-mediated_transport_in_synapse	28	7
infomap	GO.0099072	regulation_of_postsynaptic_membrane_neur...	28	3
infomap	GO.0099504	synaptic_vesicle_cycle	28	7
infomap	GO.0099531	presynaptic_process_involved_in_chemical...	28	7
infomap	GO.0099536	synaptic_signaling	28	8
infomap	GO.0099537	trans-synaptic_signaling	28	8
infomap	GO.0099565	chemical_synaptic_transmission,_postsyna...	28	2
infomap	GO.0099637	neurotransmitter_receptor_transport	28	3
infomap	GO.0099643	signal_release_from_synapse	28	7
infomap	GO.2000300	regulation_of_synaptic_vesicle_exocytosi...	28	2
infomap	GO.0042552	myelination	29	2
infomap	GO.0007268	chemical_synaptic_transmission	32	5
infomap	GO.0007416	synapse_assembly	32	2
infomap	GO.0050804	modulation_of_chemical_synaptic_transmis...	32	4
infomap	GO.0050808	synapse_organization	32	2
infomap	GO.0051403	stress-activated_MAPK_cascade	32	2
infomap	GO.0099536	synaptic_signaling	32	5
infomap	GO.0099537	trans-synaptic_signaling	32	5
infomap	GO.0007411	axon_guidance	35	3
infomap	GO.0032288	myelin_assembly	36	1
infomap	GO.0050804	modulation_of_chemical_synaptic_transmis...	36	3
infomap	GO.0050853	B_cell_receptor_signaling_pathway	37	1
infomap	GO.0007269	neurotransmitter_secretion	38	2
infomap	GO.0016079	synaptic_vesicle_exocytosis	38	2
infomap	GO.0099003	vesicle-mediated_transport_in_synapse	38	2
infomap	GO.0099504	synaptic_vesicle_cycle	38	2
infomap	GO.0099531	presynaptic_process_involved_in_chemical...	38	2
infomap	GO.0099643	signal_release_from_synapse	38	2
infomap	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	40	2
infomap	GO.0051403	stress-activated_MAPK_cascade	41	2
infomap	GO.0000165	MAPK_cascade	42	4
infomap	GO.0002218	activation_of_innate_immune_response	42	4
infomap	GO.0002757	immune_response-activating_signal_transd...	42	4
infomap	GO.0002758	innate_immune_response-activating_signal...	42	4
infomap	GO.0050852	T_cell_receptor_signaling_pathway	42	4
infomap	GO.0046058	cAMP_metabolic_process	45	2
infomap	GO.0000165	MAPK_cascade	46	3
infomap	GO.0051403	stress-activated_MAPK_cascade	46	2
infomap	GO.0001504	neurotransmitter_uptake	48	1
infomap	GO.0007268	chemical_synaptic_transmission	49	3
infomap	GO.0007269	neurotransmitter_secretion	49	3
infomap	GO.0016079	synaptic_vesicle_exocytosis	49	3
infomap	GO.0048488	synaptic_vesicle_endocytosis	49	2
infomap	GO.0048791	calcium_ion-regulated_exocytosis_of_neur...	49	1
infomap	GO.0055074	calcium_ion_homeostasis	49	2
infomap	GO.0060563	neuroepithelial_cell_differentiation	49	1
infomap	GO.0098693	regulation_of_synaptic_vesicle_cycle	49	2
infomap	GO.0098877	neurotransmitter_receptor_transport_to_p...	49	1
infomap	GO.0099003	vesicle-mediated_transport_in_synapse	49	3
infomap	GO.0099072	regulation_of_postsynaptic_membrane_neur...	49	1
infomap	GO.0099504	synaptic_vesicle_cycle	49	3
infomap	GO.0099531	presynaptic_process_involved_in_chemical...	49	3
infomap	GO.0099536	synaptic_signaling	49	3
infomap	GO.0099537	trans-synaptic_signaling	49	3
infomap	GO.0099637	neurotransmitter_receptor_transport	49	1
infomap	GO.0099643	signal_release_from_synapse	49	3
infomap	GO.2000300	regulation_of_synaptic_vesicle_exocytosi...	49	2
infomap	GO.0000165	MAPK_cascade	51	3
infomap	GO.0009755	hormone-mediated_signaling_pathway	51	2
infomap	GO.0002224	toll-like_receptor_signaling_pathway	52	1
infomap	GO.0019722	calcium-mediated_signaling	53	3
infomap	GO.0055074	calcium_ion_homeostasis	53	3
infomap	GO.0007411	axon_guidance	55	3
infomap	GO.0099504	synaptic_vesicle_cycle	57	2
infomap	GO.0098877	neurotransmitter_receptor_transport_to_p...	58	1
infomap	GO.0099072	regulation_of_postsynaptic_membrane_neur...	58	1
infomap	GO.0099637	neurotransmitter_receptor_transport	58	1
infomap	GO.0010737	protein_kinase_A_signaling	67	2
infomap	GO.0055074	calcium_ion_homeostasis	67	2
infomap	GO.0060563	neuroepithelial_cell_differentiation	67	1
infomap	GO.0070528	protein_kinase_C_signaling	70	1
infomap	GO.0007269	neurotransmitter_secretion	71	2
infomap	GO.0016079	synaptic_vesicle_exocytosis	71	2
infomap	GO.0031629	synaptic_vesicle_fusion_to_presynaptic_a...	71	1
infomap	GO.0048791	calcium_ion-regulated_exocytosis_of_neur...	71	1
infomap	GO.0099003	vesicle-mediated_transport_in_synapse	71	2
infomap	GO.0099504	synaptic_vesicle_cycle	71	2
infomap	GO.0099531	presynaptic_process_involved_in_chemical...	71	2
infomap	GO.0099643	signal_release_from_synapse	71	2
infomap	GO.0050808	synapse_organization	72	2
infomap	GO.0019933	cAMP-mediated_signaling	74	1
infomap	GO.0051403	stress-activated_MAPK_cascade	74	2
infomap	GO.0099601	regulation_of_neurotransmitter_receptor_...	74	1
infomap	GO.0000165	MAPK_cascade	76	3
infomap	GO.0048791	calcium_ion-regulated_exocytosis_of_neur...	80	1
infomap	GO.0032288	myelin_assembly	87	1
infomap	GO.0086065	cell_communication_involved_in_cardiac_c...	87	1
infomap	GO.0051963	regulation_of_synapse_assembly	92	1
infomap	GO.0008089	anterograde_axonal_transport	97	1
infomap	GO.0098930	axonal_transport	97	1
infomap	GO.0086065	cell_communication_involved_in_cardiac_c...	98	1
infomap	GO.0002224	toll-like_receptor_signaling_pathway	101	1
infomap	GO.0002757	immune_response-activating_signal_transd...	101	2
infomap	GO.0050852	T_cell_receptor_signaling_pathway	101	2
infomap	GO.0010737	protein_kinase_A_signaling	106	1
infomap	GO.0046058	cAMP_metabolic_process	106	1
infomap	GO.0070528	protein_kinase_C_signaling	106	1
infomap	GO.0007212	dopamine_receptor_signaling_pathway	107	1
infomap	GO.0007416	synapse_assembly	107	1
infomap	GO.0042417	dopamine_metabolic_process	107	1
infomap	GO.0051963	regulation_of_synapse_assembly	107	1
infomap	GO.0098877	neurotransmitter_receptor_transport_to_p...	107	1
infomap	GO.0099054	presynapse_assembly	107	1
infomap	GO.0099637	neurotransmitter_receptor_transport	107	1
infomap	GO.0002224	toll-like_receptor_signaling_pathway	110	1
infomap	GO.0007416	synapse_assembly	114	1
infomap	GO.0035235	ionotropic_glutamate_receptor_signaling_...	115	1
infomap	GO.0051591	response_to_cAMP	115	1
infomap	GO.0099601	regulation_of_neurotransmitter_receptor_...	115	1
infomap	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	119	2
infomap	GO.0002757	immune_response-activating_signal_transd...	119	2
infomap	GO.0007268	chemical_synaptic_transmission	120	2
infomap	GO.0060078	regulation_of_postsynaptic_membrane_pote...	120	1
infomap	GO.0099536	synaptic_signaling	120	2
infomap	GO.0099537	trans-synaptic_signaling	120	2
infomap	GO.0099565	chemical_synaptic_transmission,_postsyna...	120	1
infomap	GO.0009755	hormone-mediated_signaling_pathway	121	2
infomap	GO.0046058	cAMP_metabolic_process	122	1
infomap	GO.0001504	neurotransmitter_uptake	124	1
infomap	GO.0008088	axo-dendritic_transport	124	1
infomap	GO.0008089	anterograde_axonal_transport	124	1
infomap	GO.0009755	hormone-mediated_signaling_pathway	124	1
infomap	GO.0042417	dopamine_metabolic_process	124	1
infomap	GO.0043491	protein_kinase_B_signaling	124	1
infomap	GO.0060563	neuroepithelial_cell_differentiation	124	1
infomap	GO.0098930	axonal_transport	124	1
infomap	GO.0031929	TOR_signaling	132	1
infomap	GO.0007212	dopamine_receptor_signaling_pathway	134	1
infomap	GO.0046058	cAMP_metabolic_process	134	1
infomap	GO.0060074	synapse_maturation	134	1
sgG1	GO.0010737	protein_kinase_A_signaling	1	2
sgG1	GO.0060563	neuroepithelial_cell_differentiation	1	1
sgG1	GO.0001504	neurotransmitter_uptake	2	3
sgG1	GO.0007268	chemical_synaptic_transmission	2	12
sgG1	GO.0007269	neurotransmitter_secretion	2	8
sgG1	GO.0016079	synaptic_vesicle_exocytosis	2	8
sgG1	GO.0016082	synaptic_vesicle_priming	2	5
sgG1	GO.0031629	synaptic_vesicle_fusion_to_presynaptic_a...	2	5
sgG1	GO.0050804	modulation_of_chemical_synaptic_transmis...	2	8
sgG1	GO.0098693	regulation_of_synaptic_vesicle_cycle	2	3
sgG1	GO.0098877	neurotransmitter_receptor_transport_to_p...	2	3
sgG1	GO.0099003	vesicle-mediated_transport_in_synapse	2	8
sgG1	GO.0099072	regulation_of_postsynaptic_membrane_neur...	2	3
sgG1	GO.0099504	synaptic_vesicle_cycle	2	8
sgG1	GO.0099531	presynaptic_process_involved_in_chemical...	2	8
sgG1	GO.0099536	synaptic_signaling	2	12
sgG1	GO.0099537	trans-synaptic_signaling	2	12
sgG1	GO.0099637	neurotransmitter_receptor_transport	2	3
sgG1	GO.0099643	signal_release_from_synapse	2	8
sgG1	GO.2000300	regulation_of_synaptic_vesicle_exocytosi...	2	3
sgG1	GO.0000165	MAPK_cascade	3	8
sgG1	GO.0002218	activation_of_innate_immune_response	3	8
sgG1	GO.0002757	immune_response-activating_signal_transd...	3	8
sgG1	GO.0002758	innate_immune_response-activating_signal...	3	8
sgG1	GO.0050807	regulation_of_synapse_organization	3	2
sgG1	GO.0050852	T_cell_receptor_signaling_pathway	3	8
sgG1	GO.0000165	MAPK_cascade	5	14
sgG1	GO.0051403	stress-activated_MAPK_cascade	5	6
sgG1	GO.0048488	synaptic_vesicle_endocytosis	7	5
sgG1	GO.0099003	vesicle-mediated_transport_in_synapse	7	7
sgG1	GO.0099504	synaptic_vesicle_cycle	7	5
sgG1	GO.0007212	dopamine_receptor_signaling_pathway	11	1
sgG1	GO.0007416	synapse_assembly	11	1
sgG1	GO.0042417	dopamine_metabolic_process	11	1
sgG1	GO.0051963	regulation_of_synapse_assembly	11	1
sgG1	GO.0098877	neurotransmitter_receptor_transport_to_p...	11	1
sgG1	GO.0099054	presynapse_assembly	11	1
sgG1	GO.0099637	neurotransmitter_receptor_transport	11	1
sgG1	GO.0007411	axon_guidance	12	6
sgG1	GO.0000165	MAPK_cascade	14	29
sgG1	GO.0002757	immune_response-activating_signal_transd...	14	18
sgG1	GO.0007268	chemical_synaptic_transmission	14	22
sgG1	GO.0099536	synaptic_signaling	14	22
sgG1	GO.0099537	trans-synaptic_signaling	14	22
sgG1	GO.0002218	activation_of_innate_immune_response	15	7
sgG1	GO.0002758	innate_immune_response-activating_signal...	15	7
sgG1	GO.0051403	stress-activated_MAPK_cascade	15	7
sgG1	GO.0099003	vesicle-mediated_transport_in_synapse	16	7
sgG1	GO.0099504	synaptic_vesicle_cycle	16	8
sgG1	GO.0009755	hormone-mediated_signaling_pathway	19	2
sgG1	GO.0019933	cAMP-mediated_signaling	19	2
sgG1	GO.0051591	response_to_cAMP	19	2
sgG1	GO.0046058	cAMP_metabolic_process	21	2
sgG1	GO.0007268	chemical_synaptic_transmission	22	25
sgG1	GO.0050804	modulation_of_chemical_synaptic_transmis...	22	13
sgG1	GO.0099536	synaptic_signaling	22	25
sgG1	GO.0099537	trans-synaptic_signaling	22	25
sgG1	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	27	2
sgG1	GO.0002757	immune_response-activating_signal_transd...	27	2
sgG2	GO.0007212	dopamine_receptor_signaling_pathway	1	1
sgG2	GO.0007416	synapse_assembly	1	1
sgG2	GO.0042417	dopamine_metabolic_process	1	1
sgG2	GO.0051963	regulation_of_synapse_assembly	1	1
sgG2	GO.0098877	neurotransmitter_receptor_transport_to_p...	1	1
sgG2	GO.0099054	presynapse_assembly	1	1
sgG2	GO.0099637	neurotransmitter_receptor_transport	1	1
sgG2	GO.0000165	MAPK_cascade	3	15
sgG2	GO.0051403	stress-activated_MAPK_cascade	3	9
sgG2	GO.0086065	cell_communication_involved_in_cardiac_c...	3	2
sgG2	GO.0002218	activation_of_innate_immune_response	7	5
sgG2	GO.0002757	immune_response-activating_signal_transd...	7	6
sgG2	GO.0002758	innate_immune_response-activating_signal...	7	5
sgG2	GO.0007212	dopamine_receptor_signaling_pathway	7	4
sgG2	GO.0007223	Wnt_signaling_pathway,_calcium_modulatin...	7	2
sgG2	GO.0019933	cAMP-mediated_signaling	7	3
sgG2	GO.0050852	T_cell_receptor_signaling_pathway	7	5
sgG2	GO.0000165	MAPK_cascade	8	11
sgG2	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	8	6
sgG2	GO.0002757	immune_response-activating_signal_transd...	8	6
sgG2	GO.0007268	chemical_synaptic_transmission	8	16
sgG2	GO.0007411	axon_guidance	8	6
sgG2	GO.0007416	synapse_assembly	8	4
sgG2	GO.0019722	calcium-mediated_signaling	8	4
sgG2	GO.0032288	myelin_assembly	8	2
sgG2	GO.0035235	ionotropic_glutamate_receptor_signaling_...	8	3
sgG2	GO.0042417	dopamine_metabolic_process	8	2
sgG2	GO.0042552	myelination	8	3
sgG2	GO.0043491	protein_kinase_B_signaling	8	3
sgG2	GO.0050804	modulation_of_chemical_synaptic_transmis...	8	7
sgG2	GO.0050807	regulation_of_synapse_organization	8	3
sgG2	GO.0050808	synapse_organization	8	6
sgG2	GO.0051963	regulation_of_synapse_assembly	8	2
sgG2	GO.0055074	calcium_ion_homeostasis	8	5
sgG2	GO.0060078	regulation_of_postsynaptic_membrane_pote...	8	5
sgG2	GO.0099536	synaptic_signaling	8	16
sgG2	GO.0099537	trans-synaptic_signaling	8	16
sgG2	GO.0099565	chemical_synaptic_transmission,_postsyna...	8	5
sgG2	GO.0099601	regulation_of_neurotransmitter_receptor_...	8	2
sgG2	GO.0010737	protein_kinase_A_signaling	9	2
sgG2	GO.0055074	calcium_ion_homeostasis	9	3
sgG2	GO.0009755	hormone-mediated_signaling_pathway	10	1
sgG2	GO.0007268	chemical_synaptic_transmission	11	10
sgG2	GO.0007269	neurotransmitter_secretion	11	4
sgG2	GO.0007416	synapse_assembly	11	3
sgG2	GO.0016079	synaptic_vesicle_exocytosis	11	3
sgG2	GO.0050804	modulation_of_chemical_synaptic_transmis...	11	7
sgG2	GO.0050807	regulation_of_synapse_organization	11	2
sgG2	GO.0050808	synapse_organization	11	4
sgG2	GO.0051403	stress-activated_MAPK_cascade	11	3
sgG2	GO.0051963	regulation_of_synapse_assembly	11	2
sgG2	GO.0060078	regulation_of_postsynaptic_membrane_pote...	11	2
sgG2	GO.0098693	regulation_of_synaptic_vesicle_cycle	11	3
sgG2	GO.0099003	vesicle-mediated_transport_in_synapse	11	4
sgG2	GO.0099504	synaptic_vesicle_cycle	11	4
sgG2	GO.0099531	presynaptic_process_involved_in_chemical...	11	4
sgG2	GO.0099536	synaptic_signaling	11	10
sgG2	GO.0099537	trans-synaptic_signaling	11	10
sgG2	GO.0099565	chemical_synaptic_transmission,_postsyna...	11	2
sgG2	GO.0099643	signal_release_from_synapse	11	4
sgG2	GO.2000300	regulation_of_synaptic_vesicle_exocytosi...	11	2
sgG2	GO.0000165	MAPK_cascade	12	7
sgG2	GO.0050807	regulation_of_synapse_organization	12	2
sgG2	GO.0002224	toll-like_receptor_signaling_pathway	15	2
sgG2	GO.0002758	innate_immune_response-activating_signal...	15	4
sgG2	GO.0051403	stress-activated_MAPK_cascade	15	4
sgG2	GO.0009755	hormone-mediated_signaling_pathway	16	2
sgG2	GO.0019933	cAMP-mediated_signaling	16	2
sgG2	GO.0051403	stress-activated_MAPK_cascade	16	3
sgG2	GO.0051591	response_to_cAMP	16	2
sgG2	GO.0007411	axon_guidance	17	6
sgG2	GO.0051591	response_to_cAMP	17	2
sgG2	GO.0007268	chemical_synaptic_transmission	19	2
sgG2	GO.0060078	regulation_of_postsynaptic_membrane_pote...	19	1
sgG2	GO.0099536	synaptic_signaling	19	2
sgG2	GO.0099537	trans-synaptic_signaling	19	2
sgG2	GO.0099565	chemical_synaptic_transmission,_postsyna...	19	1
sgG2	GO.0050808	synapse_organization	22	2
sgG2	GO.0007411	axon_guidance	23	5
sgG2	GO.0001504	neurotransmitter_uptake	26	3
sgG2	GO.0007268	chemical_synaptic_transmission	26	14
sgG2	GO.0007269	neurotransmitter_secretion	26	10
sgG2	GO.0016079	synaptic_vesicle_exocytosis	26	10
sgG2	GO.0016082	synaptic_vesicle_priming	26	6
sgG2	GO.0031629	synaptic_vesicle_fusion_to_presynaptic_a...	26	5
sgG2	GO.0050804	modulation_of_chemical_synaptic_transmis...	26	8
sgG2	GO.0098877	neurotransmitter_receptor_transport_to_p...	26	3
sgG2	GO.0099003	vesicle-mediated_transport_in_synapse	26	10
sgG2	GO.0099072	regulation_of_postsynaptic_membrane_neur...	26	3
sgG2	GO.0099504	synaptic_vesicle_cycle	26	10
sgG2	GO.0099531	presynaptic_process_involved_in_chemical...	26	10
sgG2	GO.0099536	synaptic_signaling	26	14
sgG2	GO.0099537	trans-synaptic_signaling	26	14
