N: 1243
annotation 1	n1	annotation 2	n2	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	BC	p-value(ALT)	p.adjusted(ALT)	BC
community_2	13	synaptic_vesicle_exocytosis	26	0	0.271923	0	[0.00,0.00]	1	1		1	1	
community_2	13	synaptic_vesicle_priming	10	0	0.104586	0	[0.00,0.00]	1	1		1	1	
community_2	13	calcium-mediated_signaling	30	0	0.313757	0	[0.00,0.00]	1	1		1	1	
community_2	13	cAMP-mediated_signaling	9	0	0.0941271	0	[0.00,0.00]	1	1		1	1	
community_2	13	synaptic_vesicle_fusion_to_presynaptic_a...	7	0	0.07321	0	[0.00,0.00]	1	1		1	1	
community_2	13	TOR_signaling	10	0	0.104586	0	[0.00,0.00]	1	1		1	1	
community_2	13	myelin_assembly	5	0	0.0522928	0	[0.00,0.00]	1	1		1	1	
community_2	13	ionotropic_glutamate_receptor_signaling_...	6	0	0.0627514	0	[0.00,0.00]	1	1		1	1	
community_2	13	dopamine_metabolic_process	7	0	0.07321	0	[0.00,0.00]	1	1		1	1	
community_2	13	myelination	23	0	0.240547	0	[0.00,0.00]	1	1		1	1	
community_2	13	protein_kinase_B_signaling	20	0	0.209171	0	[0.00,0.00]	1	1		1	1	
community_2	13	cAMP_metabolic_process	14	0	0.14642	0	[0.00,0.00]	1	1		1	1	
community_2	13	synaptic_vesicle_endocytosis	14	0	0.14642	0	[0.00,0.00]	1	1		1	1	
community_2	13	calcium_ion-regulated_exocytosis_of_neur...	4	0	0.0418343	0	[0.00,0.00]	1	1		1	1	
community_2	13	axon_extension_involved_in_axon_guidance	1	0	0.0104586	0	[0.00,0.00]	1	1		1	1	
community_2	13	modulation_of_chemical_synaptic_transmis...	75	0	0.784393	0	[0.00,0.00]	1	1		1	1	
community_2	13	regulation_of_synapse_organization	17	0	0.177796	0	[0.00,0.00]	1	1		1	1	
community_2	13	synapse_organization	42	1	0.43926	2.41667	[0.31,19.03]	0.361774	1		0.931306	1	
community_2	13	T_cell_receptor_signaling_pathway	37	0	0.386967	0	[0.00,0.00]	1	1		1	1	
community_2	13	B_cell_receptor_signaling_pathway	4	0	0.0418343	0	[0.00,0.00]	1	1		1	1	
community_2	13	stress-activated_MAPK_cascade	37	0	0.386967	0	[0.00,0.00]	1	1		1	1	
community_2	13	response_to_cAMP	13	0	0.135961	0	[0.00,0.00]	1	1		1	1	
community_2	13	regulation_of_synapse_assembly	10	0	0.104586	0	[0.00,0.00]	1	1		1	1	
community_2	13	calcium_ion_homeostasis	49	1	0.51247	2.05208	[0.26,16.11]	0.408703	1		0.909957	1	
community_2	13	synapse_maturation	4	0	0.0418343	0	[0.00,0.00]	1	1		1	1	
community_2	13	regulation_of_postsynaptic_membrane_pote...	19	0	0.198713	0	[0.00,0.00]	1	1		1	1	
community_2	13	neuroepithelial_cell_differentiation	4	0	0.0418343	0	[0.00,0.00]	1	1		1	1	
community_2	13	protein_kinase_C_signaling	3	0	0.0313757	0	[0.00,0.00]	1	1		1	1	
community_2	13	cell_communication_involved_in_cardiac_c...	10	1	0.104586	11.3056	[1.33,96.36]	0.100144	1		0.995663	1	
community_2	13	regulation_of_synaptic_vesicle_cycle	16	0	0.167337	0	[0.00,0.00]	1	1		1	1	
community_2	13	neurotransmitter_receptor_transport_to_p...	6	0	0.0627514	0	[0.00,0.00]	1	1		1	1	
community_2	13	axonal_transport	10	0	0.104586	0	[0.00,0.00]	1	1		1	1	
community_2	13	vesicle-mediated_transport_in_synapse	42	0	0.43926	0	[0.00,0.00]	1	1		1	1	
community_2	13	presynapse_assembly	3	0	0.0313757	0	[0.00,0.00]	1	1		1	1	
community_2	13	regulation_of_postsynaptic_membrane_neur...	6	0	0.0627514	0	[0.00,0.00]	1	1		1	1	
community_2	13	synaptic_vesicle_cycle	38	0	0.397426	0	[0.00,0.00]	1	1		1	1	
community_2	13	presynaptic_process_involved_in_chemical...	37	0	0.386967	0	[0.00,0.00]	1	1		1	1	
community_2	13	synaptic_signaling	124	0	1.29686	0	[0.00,0.00]	1	1		1	1	
community_2	13	trans-synaptic_signaling	124	0	1.29686	0	[0.00,0.00]	1	1		1	1	
community_2	13	chemical_synaptic_transmission,_postsyna...	20	0	0.209171	0	[0.00,0.00]	1	1		1	1	
community_2	13	regulation_of_neurotransmitter_receptor_...	6	0	0.0627514	0	[0.00,0.00]	1	1		1	1	
community_2	13	neurotransmitter_receptor_transport	7	0	0.07321	0	[0.00,0.00]	1	1		1	1	
community_2	13	signal_release_from_synapse	36	0	0.376508	0	[0.00,0.00]	1	1		1	1	
community_2	13	regulation_of_synaptic_vesicle_exocytosi...	12	0	0.125503	0	[0.00,0.00]	1	1		1	1	
community_3	13	MAPK_cascade	122	0	1.27595	0	[0.00,0.00]	1	1		1	1	
community_3	13	neurotransmitter_uptake	8	0	0.0836685	0	[0.00,0.00]	1	1		1	1	
community_3	13	activation_of_innate_immune_response	43	0	0.449718	0	[0.00,0.00]	1	1		1	1	
community_3	13	toll-like_receptor_signaling_pathway	10	0	0.104586	0	[0.00,0.00]	1	1		1	1	
community_3	13	Fc_receptor_mediated_stimulatory_signali...	25	0	0.261464	0	[0.00,0.00]	1	1		1	1	
community_3	13	immune_response-activating_signal_transd...	72	0	0.753017	0	[0.00,0.00]	1	1		1	1	
community_3	13	innate_immune_response-activating_signal...	42	0	0.43926	0	[0.00,0.00]	1	1		1	1	
community_3	13	dopamine_receptor_signaling_pathway	14	0	0.14642	0	[0.00,0.00]	1	1		1	1	
community_3	13	Wnt_signaling_pathway,_calcium_modulatin...	8	0	0.0836685	0	[0.00,0.00]	1	1		1	1	
community_3	13	chemical_synaptic_transmission	124	1	1.29686	0.75	[0.10,5.82]	1	1		0.368844	1	
community_3	13	neurotransmitter_secretion	36	1	0.376508	2.84524	[0.36,22.49]	0.318836	1		0.947929	1	
community_3	13	axon_guidance	40	0	0.418343	0	[0.00,0.00]	1	1		1	1	
community_3	13	synapse_assembly	16	0	0.167337	0	[0.00,0.00]	1	1		1	1	
community_3	13	axo-dendritic_transport	11	0	0.115044	0	[0.00,0.00]	1	1		1	1	
community_3	13	anterograde_axonal_transport	6	0	0.0627514	0	[0.00,0.00]	1	1		1	1	
community_3	13	hormone-mediated_signaling_pathway	14	0	0.14642	0	[0.00,0.00]	1	1		1	1	
community_3	13	regulation_of_cardiac_muscle_hypertrophy	10	0	0.104586	0	[0.00,0.00]	1	1		1	1	
community_3	13	protein_kinase_A_signaling	5	0	0.0522928	0	[0.00,0.00]	1	1		1	1	
community_3	13	synaptic_vesicle_exocytosis	26	0	0.271923	0	[0.00,0.00]	1	1		1	1	
community_3	13	synaptic_vesicle_priming	10	0	0.104586	0	[0.00,0.00]	1	1		1	1	
community_3	13	calcium-mediated_signaling	30	0	0.313757	0	[0.00,0.00]	1	1		1	1	
community_3	13	cAMP-mediated_signaling	9	0	0.0941271	0	[0.00,0.00]	1	1		1	1	
community_3	13	synaptic_vesicle_fusion_to_presynaptic_a...	7	0	0.07321	0	[0.00,0.00]	1	1		1	1	
community_3	13	TOR_signaling	10	0	0.104586	0	[0.00,0.00]	1	1		1	1	
community_3	13	myelin_assembly	5	0	0.0522928	0	[0.00,0.00]	1	1		1	1	
community_3	13	ionotropic_glutamate_receptor_signaling_...	6	0	0.0627514	0	[0.00,0.00]	1	1		1	1	
community_3	13	dopamine_metabolic_process	7	0	0.07321	0	[0.00,0.00]	1	1		1	1	
community_3	13	myelination	23	0	0.240547	0	[0.00,0.00]	1	1		1	1	
community_3	13	protein_kinase_B_signaling	20	0	0.209171	0	[0.00,0.00]	1	1		1	1	
community_3	13	cAMP_metabolic_process	14	0	0.14642	0	[0.00,0.00]	1	1		1	1	
community_3	13	synaptic_vesicle_endocytosis	14	0	0.14642	0	[0.00,0.00]	1	1		1	1	
community_3	13	calcium_ion-regulated_exocytosis_of_neur...	4	0	0.0418343	0	[0.00,0.00]	1	1		1	1	
community_3	13	axon_extension_involved_in_axon_guidance	1	0	0.0104586	0	[0.00,0.00]	1	1		1	1	
community_3	13	modulation_of_chemical_synaptic_transmis...	75	0	0.784393	0	[0.00,0.00]	1	1		1	1	
community_3	13	regulation_of_synapse_organization	17	0	0.177796	0	[0.00,0.00]	1	1		1	1	
community_3	13	synapse_organization	42	0	0.43926	0	[0.00,0.00]	1	1		1	1	
community_3	13	T_cell_receptor_signaling_pathway	37	0	0.386967	0	[0.00,0.00]	1	1		1	1	
community_3	13	B_cell_receptor_signaling_pathway	4	0	0.0418343	0	[0.00,0.00]	1	1		1	1	
community_3	13	stress-activated_MAPK_cascade	37	0	0.386967	0	[0.00,0.00]	1	1		1	1	
community_3	13	response_to_cAMP	13	0	0.135961	0	[0.00,0.00]	1	1		1	1	
community_3	13	regulation_of_synapse_assembly	10	0	0.104586	0	[0.00,0.00]	1	1		1	1	
community_3	13	calcium_ion_homeostasis	49	0	0.51247	0	[0.00,0.00]	1	1		1	1	
community_3	13	synapse_maturation	4	0	0.0418343	0	[0.00,0.00]	1	1		1	1	
community_3	13	regulation_of_postsynaptic_membrane_pote...	19	0	0.198713	0	[0.00,0.00]	1	1		1	1	
community_3	13	neuroepithelial_cell_differentiation	4	0	0.0418343	0	[0.00,0.00]	1	1		1	1	
community_3	13	protein_kinase_C_signaling	3	0	0.0313757	0	[0.00,0.00]	1	1		1	1	
community_3	13	cell_communication_involved_in_cardiac_c...	10	0	0.104586	0	[0.00,0.00]	1	1		1	1	
community_3	13	regulation_of_synaptic_vesicle_cycle	16	0	0.167337	0	[0.00,0.00]	1	1		1	1	
community_3	13	neurotransmitter_receptor_transport_to_p...	6	0	0.0627514	0	[0.00,0.00]	1	1		1	1	
community_3	13	axonal_transport	10	0	0.104586	0	[0.00,0.00]	1	1		1	1	
community_3	13	vesicle-mediated_transport_in_synapse	42	0	0.43926	0	[0.00,0.00]	1	1		1	1	
community_3	13	presynapse_assembly	3	0	0.0313757	0	[0.00,0.00]	1	1		1	1	
community_3	13	regulation_of_postsynaptic_membrane_neur...	6	0	0.0627514	0	[0.00,0.00]	1	1		1	1	
community_3	13	synaptic_vesicle_cycle	38	0	0.397426	0	[0.00,0.00]	1	1		1	1	
community_3	13	presynaptic_process_involved_in_chemical...	37	1	0.386967	2.76389	[0.35,21.83]	0.326173	1		0.945277	1	
community_3	13	synaptic_signaling	124	1	1.29686	0.75	[0.10,5.82]	1	1		0.368844	1	
community_3	13	trans-synaptic_signaling	124	1	1.29686	0.75	[0.10,5.82]	1	1		0.368844	1	
community_3	13	chemical_synaptic_transmission,_postsyna...	20	0	0.209171	0	[0.00,0.00]	1	1		1	1	
community_3	13	regulation_of_neurotransmitter_receptor_...	6	0	0.0627514	0	[0.00,0.00]	1	1		1	1	
community_3	13	neurotransmitter_receptor_transport	7	0	0.07321	0	[0.00,0.00]	1	1		1	1	
community_3	13	signal_release_from_synapse	36	1	0.376508	2.84524	[0.36,22.49]	0.318836	1		0.947929	1	
community_3	13	regulation_of_synaptic_vesicle_exocytosi...	12	0	0.125503	0	[0.00,0.00]	1	1		1	1	
community_4	15	MAPK_cascade	122	1	1.47224	0.653483	[0.09,5.01]	1	1		0.347772	1	
community_4	15	neurotransmitter_uptake	8	0	0.0965406	0	[0.00,0.00]	1	1		1	1	
community_4	15	activation_of_innate_immune_response	43	1	0.518906	2.01701	[0.26,15.70]	0.412069	1		0.907675	1	
community_4	15	toll-like_receptor_signaling_pathway	10	1	0.120676	9.6746	[1.15,81.58]	0.114723	1		0.994212	1	
community_4	15	Fc_receptor_mediated_stimulatory_signali...	25	1	0.301689	3.58333	[0.45,28.36]	0.26399	1		0.965248	1	
community_4	15	immune_response-activating_signal_transd...	72	2	0.868866	2.54505	[0.56,11.50]	0.21414	1		0.948696	1	
community_4	15	innate_immune_response-activating_signal...	42	1	0.506838	2.06794	[0.27,16.10]	0.404633	1		0.911358	1	
community_4	15	dopamine_receptor_signaling_pathway	14	0	0.168946	0	[0.00,0.00]	1	1		1	1	
community_4	15	Wnt_signaling_pathway,_calcium_modulatin...	8	0	0.0965406	0	[0.00,0.00]	1	1		1	1	
community_4	15	chemical_synaptic_transmission	124	0	1.49638	0	[0.00,0.00]	1	1		1	1	
community_4	15	neurotransmitter_secretion	36	0	0.434433	0	[0.00,0.00]	1	1		1	1	
community_4	15	axon_guidance	40	1	0.482703	2.17766	[0.28,16.98]	0.389497	1		0.918579	1	
community_4	15	synapse_assembly	16	0	0.193081	0	[0.00,0.00]	1	1		1	1	
community_4	15	axo-dendritic_transport	11	0	0.132743	0	[0.00,0.00]	1	1		1	1	
community_4	15	anterograde_axonal_transport	6	0	0.0724055	0	[0.00,0.00]	1	1		1	1	
community_4	15	hormone-mediated_signaling_pathway	14	0	0.168946	0	[0.00,0.00]	1	1		1	1	
community_4	15	regulation_of_cardiac_muscle_hypertrophy	10	1	0.120676	9.6746	[1.15,81.58]	0.114723	1		0.994212	1	
community_4	15	protein_kinase_A_signaling	5	0	0.0603379	0	[0.00,0.00]	1	1		1	1	
community_4	15	synaptic_vesicle_exocytosis	26	0	0.313757	0	[0.00,0.00]	1	1		1	1	
community_4	15	synaptic_vesicle_priming	10	0	0.120676	0	[0.00,0.00]	1	1		1	1	
community_4	15	calcium-mediated_signaling	30	0	0.362027	0	[0.00,0.00]	1	1		1	1	
community_4	15	cAMP-mediated_signaling	9	0	0.108608	0	[0.00,0.00]	1	1		1	1	
community_4	15	synaptic_vesicle_fusion_to_presynaptic_a...	7	0	0.084473	0	[0.00,0.00]	1	1		1	1	
community_4	15	TOR_signaling	10	0	0.120676	0	[0.00,0.00]	1	1		1	1	
community_4	15	myelin_assembly	5	0	0.0603379	0	[0.00,0.00]	1	1		1	1	
community_4	15	ionotropic_glutamate_receptor_signaling_...	6	0	0.0724055	0	[0.00,0.00]	1	1		1	1	
community_4	15	dopamine_metabolic_process	7	0	0.084473	0	[0.00,0.00]	1	1		1	1	
community_4	15	myelination	23	0	0.277554	0	[0.00,0.00]	1	1		1	1	
community_4	15	protein_kinase_B_signaling	20	0	0.241352	0	[0.00,0.00]	1	1		1	1	
community_4	15	cAMP_metabolic_process	14	0	0.168946	0	[0.00,0.00]	1	1		1	1	
community_4	15	synaptic_vesicle_endocytosis	14	0	0.168946	0	[0.00,0.00]	1	1		1	1	
community_4	15	calcium_ion-regulated_exocytosis_of_neur...	4	0	0.0482703	0	[0.00,0.00]	1	1		1	1	
community_4	15	axon_extension_involved_in_axon_guidance	1	0	0.0120676	0	[0.00,0.00]	1	1		1	1	
community_4	15	modulation_of_chemical_synaptic_transmis...	75	0	0.905068	0	[0.00,0.00]	1	1		1	1	
community_4	15	regulation_of_synapse_organization	17	0	0.205149	0	[0.00,0.00]	1	1		1	1	
community_4	15	synapse_organization	42	1	0.506838	2.06794	[0.27,16.10]	0.404633	1		0.911358	1	
community_4	15	T_cell_receptor_signaling_pathway	37	0	0.4465	0	[0.00,0.00]	1	1		1	1	
community_4	15	B_cell_receptor_signaling_pathway	4	0	0.0482703	0	[0.00,0.00]	1	1		1	1	
community_4	15	stress-activated_MAPK_cascade	37	0	0.4465	0	[0.00,0.00]	1	1		1	1	
community_4	15	response_to_cAMP	13	0	0.156879	0	[0.00,0.00]	1	1		1	1	
community_4	15	regulation_of_synapse_assembly	10	0	0.120676	0	[0.00,0.00]	1	1		1	1	
community_4	15	calcium_ion_homeostasis	49	1	0.591311	1.75595	[0.23,13.63]	0.454895	1		0.884641	1	
community_4	15	synapse_maturation	4	0	0.0482703	0	[0.00,0.00]	1	1		1	1	
community_4	15	regulation_of_postsynaptic_membrane_pote...	19	0	0.229284	0	[0.00,0.00]	1	1		1	1	
community_4	15	neuroepithelial_cell_differentiation	4	0	0.0482703	0	[0.00,0.00]	1	1		1	1	
community_4	15	protein_kinase_C_signaling	3	0	0.0362027	0	[0.00,0.00]	1	1		1	1	
community_4	15	cell_communication_involved_in_cardiac_c...	10	0	0.120676	0	[0.00,0.00]	1	1		1	1	
community_4	15	regulation_of_synaptic_vesicle_cycle	16	0	0.193081	0	[0.00,0.00]	1	1		1	1	
community_4	15	neurotransmitter_receptor_transport_to_p...	6	0	0.0724055	0	[0.00,0.00]	1	1		1	1	
community_4	15	axonal_transport	10	0	0.120676	0	[0.00,0.00]	1	1		1	1	
community_4	15	vesicle-mediated_transport_in_synapse	42	0	0.506838	0	[0.00,0.00]	1	1		1	1	
community_4	15	presynapse_assembly	3	0	0.0362027	0	[0.00,0.00]	1	1		1	1	
community_4	15	regulation_of_postsynaptic_membrane_neur...	6	0	0.0724055	0	[0.00,0.00]	1	1		1	1	
community_4	15	synaptic_vesicle_cycle	38	0	0.458568	0	[0.00,0.00]	1	1		1	1	
community_4	15	presynaptic_process_involved_in_chemical...	37	0	0.4465	0	[0.00,0.00]	1	1		1	1	
community_4	15	synaptic_signaling	124	0	1.49638	0	[0.00,0.00]	1	1		1	1	
community_4	15	trans-synaptic_signaling	124	0	1.49638	0	[0.00,0.00]	1	1		1	1	
community_4	15	chemical_synaptic_transmission,_postsyna...	20	0	0.241352	0	[0.00,0.00]	1	1		1	1	
community_4	15	regulation_of_neurotransmitter_receptor_...	6	0	0.0724055	0	[0.00,0.00]	1	1		1	1	
community_4	15	neurotransmitter_receptor_transport	7	0	0.084473	0	[0.00,0.00]	1	1		1	1	
community_4	15	signal_release_from_synapse	36	0	0.434433	0	[0.00,0.00]	1	1		1	1	
community_4	15	regulation_of_synaptic_vesicle_exocytosi...	12	0	0.144811	0	[0.00,0.00]	1	1		1	1	
community_5	3	MAPK_cascade	122	0	0.294449	0	[0.00,0.00]	1	1		1	1	
community_5	3	neurotransmitter_uptake	8	0	0.0193081	0	[0.00,0.00]	1	1		1	1	
community_5	3	activation_of_innate_immune_response	43	0	0.103781	0	[0.00,0.00]	1	1		1	1	
community_5	3	toll-like_receptor_signaling_pathway	10	0	0.0241352	0	[0.00,0.00]	1	1		1	1	
community_5	3	Fc_receptor_mediated_stimulatory_signali...	25	0	0.0603379	0	[0.00,0.00]	1	1		1	1	
community_5	3	immune_response-activating_signal_transd...	72	0	0.173773	0	[0.00,0.00]	1	1		1	1	
community_5	3	innate_immune_response-activating_signal...	42	0	0.101368	0	[0.00,0.00]	1	1		1	1	
community_5	3	dopamine_receptor_signaling_pathway	14	0	0.0337892	0	[0.00,0.00]	1	1		1	1	
community_5	3	Wnt_signaling_pathway,_calcium_modulatin...	8	0	0.0193081	0	[0.00,0.00]	1	1		1	1	
community_5	3	chemical_synaptic_transmission	124	0	0.299276	0	[0.00,0.00]	1	1		1	1	
community_5	3	neurotransmitter_secretion	36	0	0.0868866	0	[0.00,0.00]	1	1		1	1	
community_5	3	axon_guidance	40	0	0.0965406	0	[0.00,0.00]	1	1		1	1	
community_5	3	synapse_assembly	16	0	0.0386163	0	[0.00,0.00]	1	1		1	1	
community_5	3	axo-dendritic_transport	11	0	0.0265487	0	[0.00,0.00]	1	1		1	1	
community_5	3	anterograde_axonal_transport	6	0	0.0144811	0	[0.00,0.00]	1	1		1	1	
community_5	3	hormone-mediated_signaling_pathway	14	0	0.0337892	0	[0.00,0.00]	1	1		1	1	
community_5	3	regulation_of_cardiac_muscle_hypertrophy	10	0	0.0241352	0	[0.00,0.00]	1	1		1	1	
community_5	3	protein_kinase_A_signaling	5	0	0.0120676	0	[0.00,0.00]	1	1		1	1	
community_5	3	synaptic_vesicle_exocytosis	26	0	0.0627514	0	[0.00,0.00]	1	1		1	1	
